Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collected_by,common_name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study,Submitter_Id,tissue_type,ENA_first_public,ENA_last_update,INSDC_center_alias,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Scientific_Name
ERR7738942,RNA-Seq,150,4393541700,PRJEB49403,SAMEA11694434,1349479518,INRAE GRAND EST-COLMAR,INRAE Grand Est-Colmar (WIEWS code : FRA038),thale cress,public,/,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",10-12 leaves (vegetative),Col-0,2022-02-28,2022-02-28,ERX7307125,SAMEA11694434,France,Europe,France,INRAE Grand Est-Colmar,2022-02-28T00:30:55Z,2022-02-28T00:30:55Z,public,Illumina NovaSeq 6000,/,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-03-01T00:00:00Z,2022-03-22T07:04:00Z,1,SAMEA11694434,200901_A00902_A_L1-2_ALYU-91_Arab-T1,ERP133909,200901_A00902_A_L1-2_ALYU-91_Arab-T1,rosette,2022-02-28,2022-02-28,INRAE Grand Est-Colmar,,,
ERR7738943,RNA-Seq,150,4857213750,PRJEB49403,SAMEA11694438,1480662650,INRAE GRAND EST-COLMAR,INRAE Grand Est-Colmar (WIEWS code : FRA038),thale cress,public,/,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",10-12 leaves (vegetative),Col-0,2022-02-28,2022-02-28,ERX7307126,SAMEA11694438,France,Europe,France,INRAE Grand Est-Colmar,2022-02-28T00:30:55Z,2022-02-28T00:30:55Z,public,Illumina NovaSeq 6000,/,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-03-01T00:00:00Z,2022-03-22T07:05:00Z,1,SAMEA11694438,200901_A00902_A_L1-2_ALYU-92_Arab-T2,ERP133909,200901_A00902_A_L1-2_ALYU-92_Arab-T2,rosette,2022-02-28,2022-02-28,INRAE Grand Est-Colmar,,,
ERR7738944,RNA-Seq,150,4829660700,PRJEB49403,SAMEA11694441,1480222812,INRAE GRAND EST-COLMAR,INRAE Grand Est-Colmar (WIEWS code : FRA038),thale cress,public,/,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",10-12 leaves (vegetative),Col-0,2022-02-28,2022-02-28,ERX7307127,SAMEA11694441,France,Europe,France,INRAE Grand Est-Colmar,2022-02-28T00:30:55Z,2022-02-28T00:30:55Z,public,Illumina NovaSeq 6000,/,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-03-01T00:00:00Z,2022-03-22T07:09:00Z,1,SAMEA11694441,200901_A00902_A_L1-2_ALYU-93_Arab-T3,ERP133909,200901_A00902_A_L1-2_ALYU-93_Arab-T3,rosette,2022-02-28,2022-02-28,INRAE Grand Est-Colmar,,,
ERR7738945,RNA-Seq,150,5075057400,PRJEB49403,SAMEA11694446,1546003112,INRAE GRAND EST-COLMAR,INRAE Grand Est-Colmar (WIEWS code : FRA038),thale cress,public,/,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",10-12 leaves (vegetative),Col-0,2022-02-28,2022-02-28,ERX7307128,SAMEA11694446,France,Europe,France,INRAE Grand Est-Colmar,2022-02-28T00:30:55Z,2022-02-28T00:30:55Z,public,Illumina NovaSeq 6000,/,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-03-01T00:00:00Z,2022-03-22T07:09:00Z,1,SAMEA11694446,200901_A00902_A_L1-2_ALYU-88_Arab-C1,ERP133909,200901_A00902_A_L1-2_ALYU-88_Arab-C1,rosette,2022-02-28,2022-02-28,INRAE Grand Est-Colmar,,,
ERR7738946,RNA-Seq,150,4636778100,PRJEB49403,SAMEA11694451,1431401730,INRAE GRAND EST-COLMAR,INRAE Grand Est-Colmar (WIEWS code : FRA038),thale cress,public,/,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",10-12 leaves (vegetative),Col-0,2022-02-28,2022-02-28,ERX7307129,SAMEA11694451,France,Europe,France,INRAE Grand Est-Colmar,2022-02-28T00:30:55Z,2022-02-28T00:30:55Z,public,Illumina NovaSeq 6000,/,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-03-01T00:00:00Z,2022-03-22T07:06:00Z,1,SAMEA11694451,200901_A00902_A_L1-2_ALYU-89_Arab-C2,ERP133909,200901_A00902_A_L1-2_ALYU-89_Arab-C2,rosette,2022-02-28,2022-02-28,INRAE Grand Est-Colmar,,,
ERR7738947,RNA-Seq,150,4597962600,PRJEB49403,SAMEA11694454,1412447235,INRAE GRAND EST-COLMAR,INRAE Grand Est-Colmar (WIEWS code : FRA038),thale cress,public,/,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",10-12 leaves (vegetative),Col-0,2022-02-28,2022-02-28,ERX7307130,SAMEA11694454,France,Europe,France,INRAE Grand Est-Colmar,2022-02-28T00:30:55Z,2022-02-28T00:30:55Z,public,Illumina NovaSeq 6000,/,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2022-03-01T00:00:00Z,2022-03-22T07:03:00Z,1,SAMEA11694454,200901_A00902_A_L1-2_ALYU-90_Arab-C3,ERP133909,200901_A00902_A_L1-2_ALYU-90_Arab-C3,rosette,2022-02-28,2022-02-28,INRAE Grand Est-Colmar,,,
