target_id,SRR13824033,SRR13824030,SRR13824004,SRR13824032,SRR13823989,SRR13824011,SRR13824003,SRR13823991,SRR13824015,SRR13823996,SRR13824001,SRR13824025,SRR13823990,SRR13824014,SRR13823992,SRR13823988,SRR13824009,SRR13824031,SRR13824020,SRR13824007,SRR13824022,SRR13824005,SRR13823994,SRR13824023,SRR13824021,SRR13824008,SRR13824024,SRR13824012,SRR13824039,SRR13823997,SRR13824028,SRR13824002,SRR13824018,SRR13824034,SRR13824010,SRR13824013,SRR13824029,SRR13824016,SRR13824035,SRR13824026,SRR13824019,SRR13824000,SRR13824006,SRR13823998,SRR13823995,SRR13824027,SRR13823999,SRR13824017,SRR13823993
AT5G48220.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G48230.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G48230.2,17.0,174.469,142.233,537.547,443.912,0.0,90.2238,68.0,137.908,901.726,163.0,701.039,111.911,199.583,311.749,614.601,6.81969,20.8383,1088.34,11.0,1741.0,82.7202,1093.17,7.64154,12.0,125.0,479.137,869.448,0.0,3.52915,258.544,162.87,310.964,594.891,113.0,528.354,70.788,228.603,8.0,232.622,32.0,75.6104,324.635,1041.53,296.762,107.288,1.0,108.008,182.786
AT5G48240.1,13.0,79.0,24.0,193.0,92.0,1.0,35.0,41.9506,107.0,252.0,41.0,200.0,12.5,59.0,85.0,121.0,3.0,13.0,571.0,13.0,659.0,57.0,232.0,2.5,12.0,57.0,148.0,277.0,0.0,1.0,76.0,29.0,156.0,231.0,32.0,170.0,90.0,65.0,4.0,47.0,21.0,11.5,113.0,210.965,94.9673,76.0,1.0,73.0,106.0
AT5G48240.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03462,1.0327,0.0,0.0,0.0,0.0
AT5G48240.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,2.5,0.0,1.18984e-06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AT5G48250.1,11.0,9.0,14.0,33.0,13.0,0.0,15.0,9.0,28.0,32.0,6.0,36.0,4.0,10.0,18.0,15.0,3.0,10.0,91.0,6.0,95.0,7.0,37.0,1.0,4.0,8.0,31.0,54.0,0.0,0.0,12.0,7.0,19.0,53.0,7.0,27.0,14.0,18.0,2.0,14.0,7.0,12.0,16.0,29.0,57.0,22.0,0.0,21.0,14.0
AT5G48270.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G48280.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G48290.1,0.0,0.0,0.0,32.0112,0.0,0.0,0.0632534,8.43138,29.444,39.1857,0.0,24.2297,0.0,15.9786,7.83852,0.0,0.0,0.0,87.3659,0.0,44.0826,0.0,30.9682,0.0,0.0,3.5887,22.45,41.6999,0.0,0.0,17.675,9.17329,7.86996,0.0,12.3298,0.0,0.0,4.85593,0.0,0.0,1.0,0.0,5.37473,88.9172,13.0581,6.387,2.0,7.55495,0.0
