ID;Run;Experiment;Timepoint (dpi);infected_control;Library;avgSpotLen;infection_type;Category;Category_trophs;Tissue
251;SRR18568322;Alternaria brassicae;10;infected;single;100;Abra43;necrotoph;necrotroph;entire seed
252;SRR18568323;Alternaria brassicae;10;infected;single;100;Abra43;necrotoph;necrotroph;entire seed
253;SRR18568324;Alternaria brassicae;10;infected;single;100;Abra43;necrotoph;necrotroph;entire seed
254;SRR18568325;Alternaria brassicae;6;infected;single;100;Abra43;necrotoph;necrotroph;entire seed
255;SRR18568326;Alternaria brassicae;6;infected;single;100;Abra43;necrotoph;necrotroph;entire seed
256;SRR18568327;Alternaria brassicae;6;infected;single;100;Abra43;necrotoph;necrotroph;entire seed
257;SRR18568328;Alternaria brassicae;3;infected;single;100;Abra43;necrotoph;necrotroph;entire seed
258;SRR18568329;Alternaria brassicae;3;infected;single;100;Abra43;necrotoph;necrotroph;entire seed
259;SRR18568330;Alternaria brassicae;3;infected;single;100;Abra43;necrotoph;necrotroph;entire seed
260;SRR24107301;Drought;0;infected;paired;202;salinity (mannitol);drought;drought;root
261;SRR24107302;Drought;0;infected;paired;202;salinity (mannitol);drought;drought;root
262;SRR24107303;Drought;0;infected;paired;202;drought (NaCl);drought;drought;root
263;SRR24107304;Drought;0;infected;paired;202;drought (NaCl);drought;drought;root
264;SRR24107305;Drought;0;control;paired;202;control;drought;drought;root
265;SRR24107306;Drought;0;control;paired;202;control;drought;drought;root
266;1_5_S4;Erisyphe cruciferarum;1;infected;single;;powdery mildew;fungal biotroph;biotroph;leaf
267;1_9_S8;Erisyphe cruciferarum;4;control;single;;control;fungal biotroph;biotroph;leaf
268;2_9_S21;Erisyphe cruciferarum;4;control;single;;control;fungal biotroph;biotroph;leaf
269;2_13_S25;Erisyphe cruciferarum;4;infected;single;;powdery mildew;fungal biotroph;biotroph;leaf
270;3_1_S29;Erisyphe cruciferarum;1;control;single;;control;fungal biotroph;biotroph;leaf
271;3_9_S30;Erisyphe cruciferarum;4;control;single;;control;fungal biotroph;biotroph;leaf
272;4_1_S31;Erisyphe cruciferarum;1;control;single;;control;fungal biotroph;biotroph;leaf
273;4_5_S35;Erisyphe cruciferarum;1;infected;single;;powdery mildew;fungal biotroph;biotroph;leaf
274;4_9_S39;Erisyphe cruciferarum;4;control;single;;control;fungal biotroph;biotroph;leaf
275;4_13_S43;Erisyphe cruciferarum;4;infected;single;;powdery mildew;fungal biotroph;biotroph;leaf
276;5_1_S47;Erisyphe cruciferarum;1;control;single;;control;fungal biotroph;biotroph;leaf
277;5_5_S51;Erisyphe cruciferarum;1;infected;single;;powdery mildew;fungal biotroph;biotroph;leaf
278;5_9_S55;Erisyphe cruciferarum;4;control;single;;control;fungal biotroph;biotroph;leaf
279;5_13_S59;Erisyphe cruciferarum;4;infected;single;;powdery mildew;fungal biotroph;biotroph;leaf
280;6_1_S63;Erisyphe cruciferarum;1;infected;single;;powdery mildew;fungal biotroph;biotroph;leaf
281;6_5_S67;Erisyphe cruciferarum;1;infected;single;;powdery mildew;fungal biotroph;biotroph;leaf
282;6_13_S74;Erisyphe cruciferarum;4;infected;single;;powdery mildew;fungal biotroph;biotroph;leaf
283;SRR22565219;Hyaloperonospora arabidopsidis 2;0;infected;single;86;Hpa;oomycete biotroph;biotroph;whole plant
284;SRR22565220;Hyaloperonospora arabidopsidis 2;0;infected;single;87;Hpa;oomycete biotroph;biotroph;whole plant
285;SRR22565221;Hyaloperonospora arabidopsidis 2;0;infected;single;88;Hpa;oomycete biotroph;biotroph;whole plant
286;SRR22565222;Hyaloperonospora arabidopsidis 2;0;infected;single;86;Hpa;oomycete biotroph;biotroph;whole plant
287;SRR22565223;Hyaloperonospora arabidopsidis 2;0;infected;single;87;Hpa;oomycete biotroph;biotroph;whole plant
288;SRR22565224;Hyaloperonospora arabidopsidis 2;0;infected;single;88;Hpa;oomycete biotroph;biotroph;whole plant
289;SRR22565225;Hyaloperonospora arabidopsidis 2;0;infected;single;87;Hpa;oomycete biotroph;biotroph;whole plant
290;SRR22565226;Hyaloperonospora arabidopsidis 2;0;infected;single;87;Hpa;oomycete biotroph;biotroph;whole plant
291;SRR22565227;Hyaloperonospora arabidopsidis 2;0;infected;single;88;Hpa;oomycete biotroph;biotroph;whole plant
292;SRR22565228;Hyaloperonospora arabidopsidis 2;0;infected;single;86;Hpa;oomycete biotroph;biotroph;whole plant
293;SRR22565229;Hyaloperonospora arabidopsidis 2;0;infected;single;86;Hpa;oomycete biotroph;biotroph;whole plant
294;SRR22565230;Hyaloperonospora arabidopsidis 2;0;infected;single;88;Hpa;oomycete biotroph;biotroph;whole plant
295;SRR22565231;Hyaloperonospora arabidopsidis 2;0;infected;single;85;Hpa;oomycete biotroph;biotroph;whole plant
296;SRR22565232;Hyaloperonospora arabidopsidis 2;0;infected;single;86;Hpa;oomycete biotroph;biotroph;whole plant
297;SRR22565233;Hyaloperonospora arabidopsidis 2;0;infected;single;88;Hpa;oomycete biotroph;biotroph;whole plant
298;SRR22565234;Hyaloperonospora arabidopsidis 2;0;infected;single;86;Hpa;oomycete biotroph;biotroph;whole plant
299;SRR22565235;Hyaloperonospora arabidopsidis 2;0;infected;single;87;Hpa;oomycete biotroph;biotroph;whole plant
300;SRR22565236;Hyaloperonospora arabidopsidis 2;0;infected;single;88;Hpa;oomycete biotroph;biotroph;whole plant
