ID;Run;Experiment;Timepoint (dpi);infected_control;Library;avgSpotLen;infection_type;Category;Category_trophs;Tissue
64;ERR9604290;Heterodera schachtii 2;2;infected;single;150;Heterodera schachtii;nematode;biotroph;root
65;ERR9604291;Heterodera schachtii 2;2;infected;single;150;Heterodera schachtii;nematode;biotroph;root
66;ERR9604294;Heterodera schachtii 2;3;control;single;150;control;nematode;biotroph;root
67;ERR9604296;Heterodera schachtii 2;1;infected;single;150;Heterodera schachtii;nematode;biotroph;root
68;ERR9604297;Heterodera schachtii 2;1;infected;single;150;Heterodera schachtii;nematode;biotroph;root
69;ERR9604298;Heterodera schachtii 2;1;infected;single;150;Heterodera schachtii;nematode;biotroph;root
70;ERR9604338;Heterodera schachtii 2;2;control;single;150;control;nematode;biotroph;root
71;ERR9604342;Heterodera schachtii 2;2;control;single;150;control;nematode;biotroph;root
72;ERR9604343;Heterodera schachtii 2;2;control;single;150;control;nematode;biotroph;root
73;SRR10030449;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
74;SRR10030450;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
75;SRR10030451;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
76;SRR10030452;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
77;SRR10030453;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
78;SRR10030454;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
79;SRR10030455;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
80;SRR10030456;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
81;SRR10030457;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
82;SRR10030458;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
83;SRR10030459;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
84;SRR10030460;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
85;SRR10030461;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
86;SRR10030462;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
87;SRR10030463;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
88;SRR10030464;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
89;SRR10030465;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
90;SRR10030466;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
91;SRR10030467;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
92;SRR10030468;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
93;SRR10030469;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
94;SRR10030470;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
95;SRR10030471;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
96;SRR10030472;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
97;SRR10030473;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
98;SRR10030474;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
99;SRR10030475;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
100;SRR10030476;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
101;SRR10030477;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
102;SRR10030478;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
103;SRR10030479;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
104;SRR10030480;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
105;SRR10030481;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
106;SRR10030482;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - D-tagatose;oomycete biotroph;biotroph;leaf
107;SRR10030483;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
108;SRR10030484;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
109;SRR10030485;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
110;SRR10030486;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
111;SRR10030487;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
112;SRR10030488;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
113;SRR10030489;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
114;SRR10030490;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
115;SRR10030491;Hyaloperonospora arabidopsidis 3;17;infected;single;101;infected - mock solution;oomycete biotroph;biotroph;leaf
