Run;Experiment;Timepoint (dpi);infected/control;single/paired;avgSpotLen;infection;infected/control.num
SRR30606525;Botrytis cinerea;2;infected;paired;300;infected;1
SRR30606526;Botrytis cinerea;2;infected;paired;300;infected;1
SRR30606527;Botrytis cinerea;1;infected;paired;300;infected;1
SRR30606528;Botrytis cinerea;1;infected;paired;300;infected;1
SRR30606529;Botrytis cinerea;1;infected;paired;300;infected;1
SRR30606530;Botrytis cinerea;0,5;infected;paired;300;infected;1
SRR30606531;Botrytis cinerea;0,5;infected;paired;300;infected;1
SRR30606532;Botrytis cinerea;0;control;paired;300;control;0
SRR30606533;Botrytis cinerea;0;control;paired;300;control;0
SRR18568313;Alternaria brassicae;10;control;single;100;control;0
SRR18568314;Alternaria brassicae;10;control;single;100;control;0
SRR18568315;Alternaria brassicae;10;control;single;100;control;0
SRR18568316;Alternaria brassicae;6;control;single;100;control;0
SRR18568317;Alternaria brassicae;6;control;single;100;control;0
SRR18568318;Alternaria brassicae;6;control;single;100;control;0
SRR18568319;Alternaria brassicae;3;control;single;100;control;0
SRR18568320;Alternaria brassicae;3;control;single;100;control;0
SRR18568321;Alternaria brassicae;3;control;single;100;control;0
SRR18568322;Alternaria brassicae;10;infected;single;100;Abra43;1
SRR18568323;Alternaria brassicae;10;infected;single;100;Abra43;1
SRR18568324;Alternaria brassicae;10;infected;single;100;Abra43;1
SRR18568325;Alternaria brassicae;6;infected;single;100;Abra43;1
SRR18568326;Alternaria brassicae;6;infected;single;100;Abra43;1
SRR18568327;Alternaria brassicae;6;infected;single;100;Abra43;1
SRR18568328;Alternaria brassicae;3;infected;single;100;Abra43;1
SRR18568329;Alternaria brassicae;3;infected;single;100;Abra43;1
SRR18568330;Alternaria brassicae;3;infected;single;100;Abra43;1
SRR24107301;Drought;0;infected;paired;202;salinity (mannitol);1
SRR24107302;Drought;0;infected;paired;202;salinity (mannitol);1
SRR24107303;Drought;0;infected;paired;202;drought (NaCl);1
SRR24107304;Drought;0;infected;paired;202;drought (NaCl);1
SRR24107305;Drought;0;control;paired;202;control;0
SRR24107306;Drought;0;control;paired;202;control;0
