;Run;Experiment;Time.series;infected.control;single.paired;avgSpotLen;p_pseudoaligned;n_pseudoaligned;n_processed;alignment_status
63;SRR10030484;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.8;2700046;3661041;Poor
64;SRR10030485;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.5;2513064;3417606;Poor
65;SRR10030486;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.2;2617992;3575911;Poor
66;SRR10030487;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.6;2730524;3711750;Poor
67;SRR10030488;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.8;2663860;3610625;Poor
68;SRR10030489;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.6;2496274;3393142;Poor
69;SRR10030490;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.2;2696872;3686129;Poor
70;SRR10030491;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.7;2722638;3694981;Poor
71;SRR10030492;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.9;2650665;3587168;Poor
72;SRR10030493;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.6;2473478;3360909;Poor
73;SRR10030494;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.7;2698683;3659353;Poor
74;SRR10030495;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.5;2740919;3730812;Poor
75;SRR10030496;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.6;2716175;3688187;Poor
76;SRR10030497;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.3;2611034;3563211;Poor
77;SRR10030498;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.7;1987617;2696331;Poor
78;SRR10030499;Hyaloperonospora arabidopsidis 3;no;infected;single;101;74;2630411;3554921;Poor
79;SRR10030500;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.7;2489666;3377203;Poor
80;SRR10030501;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.7;2730416;3703924;Poor
81;SRR10030502;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.8;2701894;3663183;Poor
82;SRR10030503;Hyaloperonospora arabidopsidis 3;no;infected;single;101;74.2;2531401;3413556;Poor
83;SRR10030504;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.3;2545336;3471730;Poor
84;SRR10030505;Hyaloperonospora arabidopsidis 3;no;infected;single;101;73.5;2749408;3740402;Poor
85;SRR12330763;Meloidogyne javanica;no (3dpi);infected;paired;300;93.9;11422212;12168776;Good
86;SRR12330764;Meloidogyne javanica;no (3dpi);infected;paired;300;93.7;11477475;12247190;Good
87;SRR12330765;Meloidogyne javanica;no (3dpi);infected;paired;300;94.9;9504591;10013728;Good
88;SRR12330766;Meloidogyne javanica;no (3dpi);control;paired;300;96.1;14825171;15427700;Good
89;SRR12330767;Meloidogyne javanica;no (3dpi);control;paired;300;95.4;12288467;12879342;Good
90;SRR12330768;Meloidogyne javanica;no (3dpi);control;paired;300;95.4;13782489;14442877;Good
91;SRR18568313;Alternaria brassicae;10 dpi;control;single;100;96.4;49681644;51541986;Good
92;SRR18568314;Alternaria brassicae;10 dpi;control;single;100;96.3;49684846;51576600;Good
93;SRR18568315;Alternaria brassicae;10 dpi;control;single;100;96;49638995;51693464;Good
94;SRR18568316;Alternaria brassicae;6 dpi;control;single;100;94.6;48417804;51175380;Good
95;SRR18568317;Alternaria brassicae;6 dpi;control;single;100;94.2;48215209;51188912;Good
96;SRR18568318;Alternaria brassicae;6 dpi;control;single;100;91.3;46876572;51334948;Good
97;SRR18568319;Alternaria brassicae;3 dpi;control;single;100;96.3;49981250;51915012;Good
98;SRR18568320;Alternaria brassicae;3 dpi;control;single;100;96.1;49670818;51660306;Good
99;SRR18568321;Alternaria brassicae;3 dpi;control;single;100;96.9;50187044;51779478;Good
100;SRR18568322;Alternaria brassicae;10 dpi;infected;single;100;48.6;49600920;102153386;Good
101;SRR18568323;Alternaria brassicae;10 dpi;infected;single;100;57.5;58837935;102415786;Good
102;SRR18568324;Alternaria brassicae;10 dpi;infected;single;100;41.4;42298668;102223536;Good
103;SRR18568325;Alternaria brassicae;6 dpi;infected;single;100;19.2;19625078;101979688;Good
104;SRR18568326;Alternaria brassicae;6 dpi;infected;single;100;17.2;17506954;101933502;Good
105;SRR18568327;Alternaria brassicae;6 dpi;infected;single;100;20.4;20807681;101877456;Good
106;SRR18568328;Alternaria brassicae;3 dpi;infected;single;100;40.9;41799974;102288192;Good
107;SRR18568329;Alternaria brassicae;3 dpi;infected;single;100;23.2;22484276;96984704;Good
108;SRR18568330;Alternaria brassicae;3 dpi;infected;single;100;35.2;36598109;103856890;Good
109;SRR24107301;Drought;no;salinity (mannitol);paired;202;76;23841832;31358207;Good
110;SRR24107302;Drought;no;salinity (mannitol);paired;202;77.3;24116092;31187085;Good
111;SRR24107303;Drought;no;drought (NaCl);paired;202;66.8;20786177;31096038;Good
112;SRR24107304;Drought;no;drought (NaCl);paired;202;73.5;23064586;31374763;Good
113;SRR24107305;Drought;no;control;paired;202;68.7;21347202;31064384;Good
114;SRR24107306;Drought;no;control;paired;202;70.1;22040811;31422652;Good
115;SRR24657655;Turnip mosaic virus (TuMV) 3;no;infected;paired;300;64.7;15971581;24668579;Good
116;SRR24657656;Turnip mosaic virus (TuMV) 3;no;infected;paired;300;64.4;16351959;25373823;Good
117;SRR24657657;Turnip mosaic virus (TuMV) 3;no;infected;paired;300;57;12357482;21694683;Good
118;SRR24657658;Turnip mosaic virus (TuMV) 3;no;infected;paired;300;62.9;14077399;22376738;Good
119;SRR24657659;Turnip mosaic virus (TuMV) 3;no;infected;paired;300;60.4;13063892;21623904;Good
120;SRR24657669;Turnip mosaic virus (TuMV) 3;no;infected;paired;300;72.1;14741057;20451802;Good
121;SRR24657680;Turnip mosaic virus (TuMV) 3;no;infected;paired;300;75.2;17612346;23425495;Good
122;SRR24657691;Turnip mosaic virus (TuMV) 3;no;infected;paired;300;73.3;17061110;23264794;Good
123;SRR24657702;Turnip mosaic virus (TuMV) 3;no;infected;paired;300;72.6;15837145;21828275;Good
124;SRR24657703;Turnip mosaic virus (TuMV) 3;no;infected;paired;300;77.2;15720499;20374483;Good
125;SRR30310344;Turnip mosaic virus (TuMV);18 days after-sowing;infected;paired;300;70.8;15532545;21951892;Good
126;SRR30310345;Turnip mosaic virus (TuMV);32 days after-sowing;control;paired;300;77.6;21847845;28150576;Good
127;SRR30310346;Turnip mosaic virus (TuMV);32 days after-sowing;control;paired;300;96.8;20431650;21096749;Good
128;SRR30310347;Turnip mosaic virus (TuMV);32 days after-sowing;control;paired;300;96.4;22934583;23795448;Good
129;SRR30310348;Turnip mosaic virus (TuMV);25 days after-sowing;control;paired;300;82.6;17089986;20690051;Good
130;SRR30310349;Turnip mosaic virus (TuMV);25 days after-sowing;control;paired;300;96.7;21703392;22443769;Good
131;SRR30310350;Turnip mosaic virus (TuMV);25 days after-sowing;control;paired;300;84.9;19505263;22978714;Good
132;SRR30310351;Turnip mosaic virus (TuMV);32 days after-sowing;infected;paired;300;61.8;13373495;21651786;Good
133;SRR30310352;Turnip mosaic virus (TuMV);32 days after-sowing;infected;paired;300;58.1;13646746;23484987;Good
134;SRR30310353;Turnip mosaic virus (TuMV);32 days after-sowing;infected;paired;300;42.1;12644712;30064881;Good
135;SRR30310354;Turnip mosaic virus (TuMV);25 days after-sowing;infected;paired;300;70.2;15343835;21854424;Good
136;SRR30310355;Turnip mosaic virus (TuMV);25 days after-sowing;infected;paired;300;62.3;12261790;19670858;Good
137;SRR30310356;Turnip mosaic virus (TuMV);25 days after-sowing;infected;paired;300;64.2;14822786;23105497;Good
138;SRR30310357;Turnip mosaic virus (TuMV);18 days after-sowing;infected;paired;300;82.3;19368694;23526220;Good
139;SRR30310358;Turnip mosaic virus (TuMV);18 days after-sowing;control;paired;300;96.1;22620724;23538119;Good
140;SRR30310359;Turnip mosaic virus (TuMV);18 days after-sowing;infected;paired;300;77.4;17840317;23043905;Good
141;SRR30310360;Turnip mosaic virus (TuMV);18 days after-sowing;infected;paired;300;82.8;19810850;23921183;Good
142;SRR30310361;Turnip mosaic virus (TuMV);32 days after-sowing;infected;paired;300;53.7;14925751;27811941;Good
143;SRR30310362;Turnip mosaic virus (TuMV);32 days after-sowing;infected;paired;300;56.7;11895552;20983399;Good
144;SRR30310363;Turnip mosaic virus (TuMV);32 days after-sowing;infected;paired;300;58.3;12394189;21265592;Good
145;SRR30310364;Turnip mosaic virus (TuMV);25 days after-sowing;infected;paired;300;74.4;15539524;20880148;Good
146;SRR30310365;Turnip mosaic virus (TuMV);25 days after-sowing;infected;paired;300;79.3;18190820;22926995;Good
147;SRR30310366;Turnip mosaic virus (TuMV);25 days after-sowing;infected;paired;300;76.3;19674936;25781706;Good
148;SRR30310367;Turnip mosaic virus (TuMV);18 days after-sowing;infected;paired;300;71.7;14467250;20165339;Good
149;SRR30310368;Turnip mosaic virus (TuMV);18 days after-sowing;infected;paired;300;67.4;13284374;19697324;Good
150;SRR30310369;Turnip mosaic virus (TuMV);18 days after-sowing;control;paired;300;95.9;20751924;21628907;Good
151;SRR30310370;Turnip mosaic virus (TuMV);18 days after-sowing;control;paired;300;96;23076309;24044425;Good
152;SRR30606508;Botrytis cinerea;12h;infected;paired;300;83.5;37585094;45011607;Good
153;SRR30606509;Botrytis cinerea;6h;infected;paired;300;92.6;40208888;43408739;Good
154;SRR30606510;Botrytis cinerea;6h;infected;paired;300;90.4;40560584;44852753;Good
155;SRR30606511;Botrytis cinerea;6h;infected;paired;300;89.2;38191357;42807831;Good
156;SRR30606517;Botrytis cinerea;96h;infected;paired;300;95.8;41033881;42828166;Good
157;SRR30606518;Botrytis cinerea;96h;infected;paired;300;96.5;42727998;44297401;Good
158;SRR30606519;Botrytis cinerea;96h;infected;paired;300;95.6;40274784;42138299;Good
159;SRR30606520;Botrytis cinerea;72h;infected;paired;300;95.9;41745147;43551843;Good
160;SRR30606521;Botrytis cinerea;control;control;paired;300;96;19176298;19976079;Good
161;SRR30606522;Botrytis cinerea;72h;infected;paired;300;93.5;39242570;41967058;Good
162;SRR30606523;Botrytis cinerea;72h;infected;paired;300;95.8;40390307;42166101;Good
163;SRR30606524;Botrytis cinerea;48h;infected;paired;300;88.8;39811945;44855036;Good
164;SRR30606525;Botrytis cinerea;48h;infected;paired;300;94.3;41436029;43944350;Good
165;SRR30606526;Botrytis cinerea;48h;infected;paired;300;91.5;40080150;43796057;Good
166;SRR30606527;Botrytis cinerea;24h;infected;paired;300;93;39184558;42154217;Good
167;SRR30606528;Botrytis cinerea;24h;infected;paired;300;93.5;39476070;42211821;Good
168;SRR30606529;Botrytis cinerea;24h;infected;paired;300;92.2;42182037;45739815;Good
169;SRR30606530;Botrytis cinerea;12h;infected;paired;300;93;38521474;41439622;Good
170;SRR30606531;Botrytis cinerea;12h;infected;paired;300;88.9;37595125;42279314;Good
171;SRR30606532;Botrytis cinerea;control;control;paired;300;97;20866078;21519588;Good
172;SRR30606533;Botrytis cinerea;control;control;paired;300;97;20889768;21546829;Good
173;SRR3124722;Plasmodiophora brassicae 2;17 dpi;infected;paired;202;97.9;8186170;8358101;Good
174;SRR3124724;Plasmodiophora brassicae 2;24 dpi;infected;paired;202;98;11109228;11332486;Good
175;SRR3124726;Plasmodiophora brassicae 2;17 dpi;infected;paired;202;97.7;10391477;10635493;Good
176;SRR3124729;Plasmodiophora brassicae 2;20 dpi;infected;paired;202;98.2;15567942;15847392;Good
177;SRR3124731;Plasmodiophora brassicae 2;24 dpi;infected;paired;202;97.3;15944686;16393176;Good
178;SRR3124735;Plasmodiophora brassicae 2;17 dpi;infected;paired;202;96.7;25174980;26026429;Good
179;SRR3124737;Plasmodiophora brassicae 2;20 dpi;infected;paired;202;96.9;11963630;12341757;Good
180;SRR3124740;Plasmodiophora brassicae 2;24 dpi;infected;paired;202;93.4;11688092;12514167;Good
181;SRR3124742;Plasmodiophora brassicae 2;17 dpi;infected;paired;202;98;10311210;10524498;Good
182;SRR3124743;Plasmodiophora brassicae 2;20 dpi;infected;paired;202;96.8;12564831;12978398;Good
183;SRR3124745;Plasmodiophora brassicae 2;24 dpi;infected;paired;202;94.5;12610433;13348939;Good
