;Run;ID;Experiment;Timepoint..dpi.;infected_control.control;infected_control.infected;Library.paired;Library.single;avgSpotLen;infection_type;Category.control;Category.drought;Category.fungal biotroph;Category.necrotoph;Category.nematode;Category.oomycete biotroph;Category.protist biotroph;Category.viral biotroph;Category.viral pathogen;Category_trophs.;Category_trophs.biotroph;Category_trophs.control;Category_trophs.drought;Category_trophs.necrotroph;Tissue.entire seed;Tissue.full aerial;Tissue.leaf;Tissue.root;Tissue.whole plant;Timepoint_dpi.0;Timepoint_dpi.0,25;Timepoint_dpi.0,5;Timepoint_dpi.1;Timepoint_dpi.10;Timepoint_dpi.14;Timepoint_dpi.17;Timepoint_dpi.2;Timepoint_dpi.20;Timepoint_dpi.21;Timepoint_dpi.24;Timepoint_dpi.3;Timepoint_dpi.4;Timepoint_dpi.5;Timepoint_dpi.6;Timepoint_dpi.7;pathogen;pathogen_abbr;inf_path.A. brassicae;inf_path.B. cinerea;inf_path.control;inf_path.Drought;inf_path.E. cichoracearum;inf_path.E. cruciferarum;inf_path.G. orontii;inf_path.H. schachtii;inf_path.Hpa;inf_path.M. javanica;inf_path.P. brassicae;inf_path.TuMV;inf_path.TuYV;p_pseudoaligned;LibrarySize;n_processed;LibrarySize_kallisto;P.brassicae_leaf;P.brassicae_root;TuMV_AS;TuMV_DS
261;SRR8689396;14;Erysiphe cichoracearum ;7;0;1;1;0;252;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Erysiphe cichoracearum ;E. cichoracearum;0;0;0;0;1;0;0;0;0;0;0;0;0;93.8;11060979;11797045;11060979;0;0;0;0
262;SRR8689400;15;Erysiphe cichoracearum ;2;1;0;1;0;252;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Erysiphe cichoracearum ;E. cichoracearum;0;0;1;0;0;0;0;0;0;0;0;0;0;94.3;10626172;11274142;10626172;0;0;0;0
264;SRR8689402;16;Erysiphe cichoracearum ;2;1;0;1;0;252;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Erysiphe cichoracearum ;E. cichoracearum;0;0;1;0;0;0;0;0;0;0;0;0;0;94.6;10005205;10578778;10005205;0;0;0;0
266;SRR8689407;17;Erysiphe cichoracearum ;5;1;0;1;0;252;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Erysiphe cichoracearum ;E. cichoracearum;0;0;1;0;0;0;0;0;0;0;0;0;0;93.2;10142912;10882252;10142912;0;0;0;0
267;SRR8689408;18;Erysiphe cichoracearum ;5;1;0;1;0;252;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Erysiphe cichoracearum ;E. cichoracearum;0;0;1;0;0;0;0;0;0;0;0;0;0;95.2;9395824;9874422;9395824;0;0;0;0
268;SRR8689412;19;Erysiphe cichoracearum ;7;1;0;1;0;252;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Erysiphe cichoracearum ;E. cichoracearum;0;0;1;0;0;0;0;0;0;0;0;0;0;90.1;9178285;10185941;9178285;0;0;0;0
270;SRR8689414;20;Erysiphe cichoracearum ;7;1;0;1;0;252;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Erysiphe cichoracearum ;E. cichoracearum;0;0;1;0;0;0;0;0;0;0;0;0;0;95.2;10745370;11293079;10745370;0;0;0;0
256;SRR8689388;21;Erysiphe cichoracearum ;5;0;1;1;0;252;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Erysiphe cichoracearum ;E. cichoracearum;0;0;0;0;1;0;0;0;0;0;0;0;0;93.2;12549394;13466698;12549394;0;0;0;0
263;SRR8689401;22;Erysiphe cichoracearum ;2;1;0;1;0;252;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Erysiphe cichoracearum ;E. cichoracearum;0;0;1;0;0;0;0;0;0;0;0;0;0;94.1;10223312;10870046;10223312;0;0;0;0
265;SRR8689406;23;Erysiphe cichoracearum ;5;1;0;1;0;252;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;Erysiphe cichoracearum ;E. cichoracearum;0;0;1;0;0;0;0;0;0;0;0;0;0;94.7;10690017;11289729;10690017;0;0;0;0
269;SRR8689413;24;Erysiphe cichoracearum ;7;1;0;1;0;252;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Erysiphe cichoracearum ;E. cichoracearum;0;0;1;0;0;0;0;0;0;0;0;0;0;93.9;9322937;9932654;9322937;0;0;0;0
271;SRR8800677;25;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;97;2180440;2248775;2180440;0;0;0;0
272;SRR8800678;26;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.8;1320254;1363645;1320254;0;0;0;0
273;SRR8800679;27;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.9;6397985;6600480;6397985;0;0;0;0
274;SRR8800680;28;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.8;4833081;4990510;4833081;0;0;0;0
275;SRR8800681;29;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.8;5059584;5224394;5059584;0;0;0;0
276;SRR8800682;30;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;97;2334111;2405142;2334111;0;0;0;0
277;SRR8800683;31;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.9;1389457;1433791;1389457;0;0;0;0
278;SRR8800684;32;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;97;6641714;6845261;6641714;0;0;0;0
279;SRR8800685;33;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.9;4505250;4648582;4505250;0;0;0;0
280;SRR8800686;34;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.9;4791035;4943005;4791035;0;0;0;0
281;SRR8800687;35;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.9;2132610;2201631;2132610;0;0;0;0
282;SRR8800688;36;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.7;1176119;1216050;1176119;0;0;0;0
283;SRR8800689;37;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.8;5787775;5976042;5787775;0;0;0;0
284;SRR8800690;38;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.7;8786385;9087445;8786385;0;0;0;0
285;SRR8800691;39;Golovinomyces orontii;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.7;4658130;4819277;4658130;0;0;0;0
300;SRR8800755;40;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.5;3795650;3932114;3795650;0;0;0;0
299;SRR8800754;41;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.6;6237482;6459153;6237482;0;0;0;0
298;SRR8800753;42;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.8;7021692;7254726;7021692;0;0;0;0
297;SRR8800752;43;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.6;1428118;1478813;1428118;0;0;0;0
296;SRR8800751;44;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.8;2430220;2511056;2430220;0;0;0;0
295;SRR8800750;45;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.6;6006172;6214538;6006172;0;0;0;0
294;SRR8800749;46;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.6;5209636;5390856;5209636;0;0;0;0
293;SRR8800748;47;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.7;5369551;5550416;5369551;0;0;0;0
292;SRR8800747;48;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.6;1133894;1173742;1133894;0;0;0;0
291;SRR8800746;49;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.7;1922558;1987229;1922558;0;0;0;0
290;SRR8800745;50;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.5;5462028;5658637;5462028;0;0;0;0
289;SRR8800744;51;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.5;5731549;5937645;5731549;0;0;0;0
288;SRR8800743;52;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.7;5476569;5666022;5476569;0;0;0;0
287;SRR8800742;53;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.5;1070129;1109018;1070129;0;0;0;0
286;SRR8800741;54;Golovinomyces orontii;2;0;1;0;1;150;infected;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Golovinomyces orontii;G. orontii;0;0;0;0;0;0;1;0;0;0;0;0;0;96.7;2027397;2097320;2027397;0;0;0;0
27;ERR9604272;55;Heterodera schachtii 2;3;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;1;0;0;0;0;0;0;0;0;0;0;97.2;46897187;48232942;46897187;0;0;0;0
28;ERR9604276;56;Heterodera schachtii 2;1;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;1;0;0;0;0;0;0;0;0;0;0;97;47484643;48929178;47484643;0;0;0;0
29;ERR9604277;57;Heterodera schachtii 2;1;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;1;0;0;0;0;0;0;0;0;0;0;97.2;48289124;49705474;48289124;0;0;0;0
30;ERR9604278;58;Heterodera schachtii 2;1;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;1;0;0;0;0;0;0;0;0;0;0;97.2;49068502;50474902;49068502;0;0;0;0
