;Run;ID;Experiment;Timepoint..dpi.;infected_control.control;infected_control.infected;Library.paired;Library.single;avgSpotLen;infection_type;Category.control;Category.drought;Category.fungal biotroph;Category.necrotoph;Category.nematode;Category.oomycete biotroph;Category.protist biotroph;Category.viral biotroph;Category.viral pathogen;Category_trophs.;Category_trophs.biotroph;Category_trophs.control;Category_trophs.drought;Category_trophs.necrotroph;Tissue.entire seed;Tissue.full aerial;Tissue.leaf;Tissue.root;Tissue.whole plant;Timepoint_dpi.0;Timepoint_dpi.0,25;Timepoint_dpi.0,5;Timepoint_dpi.1;Timepoint_dpi.10;Timepoint_dpi.14;Timepoint_dpi.17;Timepoint_dpi.2;Timepoint_dpi.20;Timepoint_dpi.21;Timepoint_dpi.24;Timepoint_dpi.3;Timepoint_dpi.4;Timepoint_dpi.5;Timepoint_dpi.6;Timepoint_dpi.7;pathogen;pathogen_abbr;inf_path.A. brassicae;inf_path.B. cinerea;inf_path.control;inf_path.Drought;inf_path.E. cichoracearum;inf_path.E. cruciferarum;inf_path.G. orontii;inf_path.H. schachtii;inf_path.Hpa;inf_path.M. javanica;inf_path.P. brassicae;inf_path.TuMV;inf_path.TuYV;p_pseudoaligned;LibrarySize;n_processed;LibrarySize_kallisto;P.brassicae_leaf;P.brassicae_root;TuMV_AS;TuMV_DS
31;ERR9604282;59;Heterodera schachtii 2;3;0;1;0;1;150;Heterodera schachtii;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;0;0;0;0;0;1;0;0;0;0;0;90.6;45585554;50318764;45585554;0;0;0;0
32;ERR9604283;60;Heterodera schachtii 2;3;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;1;0;0;0;0;0;0;0;0;0;0;97;48441269;49933448;48441269;0;0;0;0
33;ERR9604284;61;Heterodera schachtii 2;3;0;1;0;1;150;Heterodera schachtii;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;0;0;0;0;0;1;0;0;0;0;0;91.1;46766081;51336376;46766081;0;0;0;0
34;ERR9604285;62;Heterodera schachtii 2;3;0;1;0;1;150;Heterodera schachtii;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;0;0;0;0;0;1;0;0;0;0;0;91.5;45308069;49543654;45308069;0;0;0;0
35;ERR9604289;63;Heterodera schachtii 2;2;0;1;0;1;150;Heterodera schachtii;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;0;0;0;0;0;1;0;0;0;0;0;88.2;45627759;51733914;45627759;0;0;0;0
36;ERR9604290;64;Heterodera schachtii 2;2;0;1;0;1;150;Heterodera schachtii;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;0;0;0;0;0;1;0;0;0;0;0;86.6;44144530;50954642;44144530;0;0;0;0
37;ERR9604291;65;Heterodera schachtii 2;2;0;1;0;1;150;Heterodera schachtii;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;0;0;0;0;0;1;0;0;0;0;0;87.6;43772153;49984458;43772153;0;0;0;0
38;ERR9604294;66;Heterodera schachtii 2;3;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;1;0;0;0;0;0;0;0;0;0;0;97.3;49060000;50428892;49060000;0;0;0;0
39;ERR9604296;67;Heterodera schachtii 2;1;0;1;0;1;150;Heterodera schachtii;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;0;0;0;0;0;1;0;0;0;0;0;90.6;45684395;50421322;45684395;0;0;0;0
40;ERR9604297;68;Heterodera schachtii 2;1;0;1;0;1;150;Heterodera schachtii;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;0;0;0;0;0;1;0;0;0;0;0;89.5;45571629;50928504;45571629;0;0;0;0
41;ERR9604298;69;Heterodera schachtii 2;1;0;1;0;1;150;Heterodera schachtii;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;0;0;0;0;0;1;0;0;0;0;0;91.6;46128137;50374802;46128137;0;0;0;0
42;ERR9604338;70;Heterodera schachtii 2;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;1;0;0;0;0;0;0;0;0;0;0;97;48585012;50081308;48585012;0;0;0;0
43;ERR9604342;71;Heterodera schachtii 2;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;1;0;0;0;0;0;0;0;0;0;0;96.9;49577046;51157022;49577046;0;0;0;0
44;ERR9604343;72;Heterodera schachtii 2;2;1;0;0;1;150;control;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;Heterodera schachtii;H. schachtii;0;0;1;0;0;0;0;0;0;0;0;0;0;97.1;49308905;50803094;49308905;0;0;0;0
45;SRR10030449;73;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3293095;3715415;3293095;0;0;0;0
46;SRR10030450;74;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.8;3052242;3436724;3052242;0;0;0;0
47;SRR10030451;75;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;89;2757905;3100041;2757905;0;0;0;0
48;SRR10030452;76;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3332710;3761935;3332710;0;0;0;0
49;SRR10030453;77;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3317725;3745061;3317725;0;0;0;0
50;SRR10030454;78;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3287474;3709123;3287474;0;0;0;0
51;SRR10030455;79;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.7;3176039;3579532;3176039;0;0;0;0
52;SRR10030456;80;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.9;2965259;3337227;2965259;0;0;0;0
53;SRR10030457;81;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.8;3020017;3401909;3020017;0;0;0;0
54;SRR10030458;82;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3307543;3732286;3307543;0;0;0;0
55;SRR10030459;83;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3288887;3710886;3288887;0;0;0;0
56;SRR10030460;84;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3276895;3696954;3276895;0;0;0;0
57;SRR10030461;85;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3250493;3666715;3250493;0;0;0;0
58;SRR10030462;86;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.8;3111173;3503832;3111173;0;0;0;0
59;SRR10030463;87;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.9;2925599;3290253;2925599;0;0;0;0
60;SRR10030464;88;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.8;3240670;3650897;3240670;0;0;0;0
61;SRR10030465;89;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3295035;3718346;3295035;0;0;0;0
62;SRR10030466;90;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3275691;3695396;3275691;0;0;0;0
63;SRR10030467;91;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.7;3204971;3613366;3204971;0;0;0;0
64;SRR10030468;92;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.8;3042636;3425974;3042636;0;0;0;0
65;SRR10030469;93;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.8;2987305;3363245;2987305;0;0;0;0
66;SRR10030470;94;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3308968;3736708;3308968;0;0;0;0
67;SRR10030471;95;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.7;3224791;3636917;3224791;0;0;0;0
68;SRR10030472;96;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3288886;3711478;3288886;0;0;0;0
69;SRR10030473;97;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3239899;3654812;3239899;0;0;0;0
70;SRR10030474;98;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.8;3152880;3552277;3152880;0;0;0;0
71;SRR10030475;99;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.9;2911771;3276730;2911771;0;0;0;0
72;SRR10030476;100;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.9;1270830;1429186;1270830;0;0;0;0
73;SRR10030477;101;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.7;3170538;3572975;3170538;0;0;0;0
74;SRR10030478;102;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.9;2947893;3316637;2947893;0;0;0;0
75;SRR10030479;103;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.8;3080318;3468155;3080318;0;0;0;0
76;SRR10030480;104;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.6;3296691;3720072;3296691;0;0;0;0
77;SRR10030481;105;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.7;3276357;3695248;3276357;0;0;0;0
78;SRR10030482;106;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - D-tagatose;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;0;0;0;0;0;88.7;3230263;3641437;3230263;0;0;0;0
79;SRR10030483;107;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.7;2729222;3703222;2729222;0;0;0;0
80;SRR10030484;108;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.8;2700046;3661041;2700046;0;0;0;0
81;SRR10030485;109;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.5;2513064;3417606;2513064;0;0;0;0
82;SRR10030486;110;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.2;2617992;3575911;2617992;0;0;0;0
83;SRR10030487;111;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.6;2730524;3711750;2730524;0;0;0;0
84;SRR10030488;112;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.8;2663860;3610625;2663860;0;0;0;0
85;SRR10030489;113;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.6;2496274;3393142;2496274;0;0;0;0
86;SRR10030490;114;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.2;2696872;3686129;2696872;0;0;0;0
87;SRR10030491;115;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.7;2722638;3694981;2722638;0;0;0;0
88;SRR10030492;116;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.9;2650665;3587168;2650665;0;0;0;0
89;SRR10030493;117;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.6;2473478;3360909;2473478;0;0;0;0
90;SRR10030494;118;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.7;2698683;3659353;2698683;0;0;0;0
91;SRR10030495;119;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.5;2740919;3730812;2740919;0;0;0;0
92;SRR10030496;120;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.6;2716175;3688187;2716175;0;0;0;0
93;SRR10030497;121;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.3;2611034;3563211;2611034;0;0;0;0
94;SRR10030498;122;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.7;1987617;2696331;1987617;0;0;0;0
95;SRR10030499;123;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;74;2630411;3554921;2630411;0;0;0;0
96;SRR10030500;124;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.7;2489666;3377203;2489666;0;0;0;0
97;SRR10030501;125;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.7;2730416;3703924;2730416;0;0;0;0
98;SRR10030502;126;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.8;2701894;3663183;2701894;0;0;0;0
99;SRR10030503;127;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;74.2;2531401;3413556;2531401;0;0;0;0
100;SRR10030504;128;Hyaloperonospora arabidopsidis 3;17;0;1;0;1;101;infected - mock solution;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;Hyaloperonospora arabidopsidis;Hpa;0;0;0;0;0;0;0;0;1;0;0;0;0;73.3;2545336;3471730;2545336;0;0;0;0
