Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment
SRR24107301,RNA-Seq,202,6371129288,PRJNA953419,SAMN34115919,1944880715,"PLANT MOLECULAR GENETICS LAB, MOLECULAR BIOLOGY, PUSAN NATIONAL UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19907249,WT (Col-0),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7157044,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-12-09T00:00:00Z,2023-04-07T18:00:00Z,1,GSM7157044,roots,SRP431509,roots,"300 mM mannitol for 1\, 2\, and 4 h"
SRR24107302,RNA-Seq,202,6356600640,PRJNA953419,SAMN34115920,1957230227,"PLANT MOLECULAR GENETICS LAB, MOLECULAR BIOLOGY, PUSAN NATIONAL UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19907248,WT (Col-0),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7157043,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-12-09T00:00:00Z,2023-04-07T18:00:00Z,1,GSM7157043,roots,SRP431509,roots,"300 mM mannitol for 1\, 2\, and 4 h"
SRR24107303,RNA-Seq,202,6355011910,PRJNA953419,SAMN34115921,1947199458,"PLANT MOLECULAR GENETICS LAB, MOLECULAR BIOLOGY, PUSAN NATIONAL UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19907247,WT (Col-0),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7157042,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-12-09T00:00:00Z,2023-04-07T18:09:00Z,1,GSM7157042,roots,SRP431509,roots,"150 mM NaCl for 1\, 2\, and 4 h"
SRR24107304,RNA-Seq,202,6368775786,PRJNA953419,SAMN34115922,1959525392,"PLANT MOLECULAR GENETICS LAB, MOLECULAR BIOLOGY, PUSAN NATIONAL UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19907246,WT (Col-0),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7157041,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-12-09T00:00:00Z,2023-04-07T18:05:00Z,1,GSM7157041,roots,SRP431509,roots,"150 mM NaCl for 1\, 2\, and 4 h"
SRR24107305,RNA-Seq,202,6301855610,PRJNA953419,SAMN34115923,1951973035,"PLANT MOLECULAR GENETICS LAB, MOLECULAR BIOLOGY, PUSAN NATIONAL UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19907245,WT (Col-0),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7157040,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-12-09T00:00:00Z,2023-04-07T18:05:00Z,1,GSM7157040,roots,SRP431509,roots,no treatment
SRR24107306,RNA-Seq,202,6372594192,PRJNA953419,SAMN34115924,1950248019,"PLANT MOLECULAR GENETICS LAB, MOLECULAR BIOLOGY, PUSAN NATIONAL UNIVERSITY",missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19907244,WT (Col-0),uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7157039,PAIRED,cDNA,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2023-12-09T00:00:00Z,2023-04-07T18:11:00Z,1,GSM7157039,roots,SRP431509,roots,no treatment
