Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR3124745,not applicable,RNA-Seq,202,2880782196,PRJNA309985,SAMN04444195,Plant,1176340297,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-11,coloumbia,SRX1547590,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iR2_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:31:00Z,1,2iR2_24_dpi_R1.fastq.gz,SRP068919,root-11
SRR3124747,not applicable,RNA-Seq,202,2016631246,PRJNA309985,SAMN04444169,Plant,822510684,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Leaf-3,coloumbia,SRX1547581,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iL1_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:30:00Z,1,2iL1_20_dpi_R1.fastq.gz,SRP068919,Leaf-3
SRR3124748,not applicable,RNA-Seq,202,1959007110,PRJNA309985,SAMN04444197,Plant,832192879,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-13,coloumbia,SRX1547593,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iR3_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:33:00Z,1,2iR3_17_dpi_R1.fastq.gz,SRP068919,root-13
SRR3124750,not applicable,RNA-Seq,202,2973338192,PRJNA309985,SAMN04444199,Plant,1215692033,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-15,coloumbia,SRX1547595,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iR3_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:29:00Z,1,2iR3_20_dpi_R1.fastq.gz,SRP068919,root-15
SRR3124752,not applicable,RNA-Seq,202,2775102462,PRJNA309985,SAMN04444201,Plant,1167666268,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-17,coloumbia,SRX1547597,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iR3_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:31:00Z,1,2iR3_24_dpi_R1.fastq.gz,SRP068919,root-17
SRR3124754,not applicable,RNA-Seq,202,3482487676,PRJNA309985,SAMN04444203,Plant,1467894321,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",leaf-19,coloumbia,SRX1547599,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CL1_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:35:00Z,1,CL1_17_dpi_R1.fastq.gz,SRP068919,leaf-19
SRR3124756,not applicable,RNA-Seq,202,3481531610,PRJNA309985,SAMN04444205,Plant,1480744326,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",leaf-21,coloumbia,SRX1547601,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CL1_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:32:00Z,1,CL1_20_dpi_R1.fastq.gz,SRP068919,leaf-21
SRR3124759,not applicable,RNA-Seq,202,2326968896,PRJNA309985,SAMN04444207,Plant,995816279,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",leaf-23,coloumbia,SRX1547604,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CL1_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:34:00Z,1,CL1_24_dpi_R1.fastq.gz,SRP068919,leaf-23
SRR3124761,not applicable,RNA-Seq,202,2333265842,PRJNA309985,SAMN04444209,Plant,954975597,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",leaf-25,coloumbia,SRX1547606,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CL2_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T01:06:00Z,1,CL2_17_dpi_R1.fastq.gz,SRP068919,leaf-25
SRR3124764,not applicable,RNA-Seq,202,2495080366,PRJNA309985,SAMN04444211,Plant,1064012440,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",leaf-27,coloumbia,SRX1547608,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CL2_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:33:00Z,1,CL2_20_dpi_R1.fastq.gz,SRP068919,leaf-27
SRR3124766,not applicable,RNA-Seq,202,2588170046,PRJNA309985,SAMN04444213,Plant,1059469493,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",leaf-29,coloumbia,SRX1547610,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CL2_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:36:00Z,1,CL2_24_dpi_R1.fastq.gz,SRP068919,leaf-29
SRR3124767,not applicable,RNA-Seq,202,1272894718,PRJNA309985,SAMN04444215,Plant,522936912,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",leaf-31,coloumbia,SRX1547612,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CL3_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:15:00Z,1,CL3_17_dpi_R1.fastq.gz,SRP068919,leaf-31
SRR3124769,not applicable,RNA-Seq,202,4471470788,PRJNA309985,SAMN04444171,Plant,1892256454,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Leaf-5,coloumbia,SRX1547603,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iL1_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:36:00Z,1,2iL1_24_dpi_R1.fastq.gz,SRP068919,Leaf-5
SRR3124770,not applicable,RNA-Seq,202,1976718066,PRJNA309985,SAMN04444217,Plant,838734990,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",leaf-33,coloumbia,SRX1547615,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CL3_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:29:00Z,1,CL3_20_dpi_R1.fastq.gz,SRP068919,leaf-33
SRR3124772,not applicable,RNA-Seq,202,3036188270,PRJNA309985,SAMN04444219,Plant,1249375546,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",leaf-35,coloumbia,SRX1547617,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CL3_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T12:36:00Z,1,CL3_24_dpi_R1.fastq.gz,SRP068919,leaf-35
SRR3124775,not applicable,RNA-Seq,202,2587849472,PRJNA309985,SAMN04444221,Plant,1098481778,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-19,coloumbia,SRX1547828,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CR1_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:32:00Z,1,CR1_17_dpi_R1.fastq.gz,SRP068919,root-19
SRR3124986,not applicable,RNA-Seq,202,4575983770,PRJNA309985,SAMN04444223,Plant,1938082307,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-21,coloumbia,SRX1547830,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CR1_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:57:00Z,1,CR1_20_dpi_R1.fastq.gz,SRP068919,root-21
SRR3124987,not applicable,RNA-Seq,202,2955544416,PRJNA309985,SAMN04444225,Plant,1242706892,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-23,coloumbia,SRX1547832,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CR1_24dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:39:00Z,1,CR1_24dpi_R1.fastq.gz,SRP068919,root-23
SRR3124990,not applicable,RNA-Seq,202,3024539940,PRJNA309985,SAMN04444227,Plant,1284724757,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-25,coloumbia,SRX1547835,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CR2_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:33:00Z,1,CR2_17_dpi_R1.fastq.gz,SRP068919,root-25
SRR3124992,not applicable,RNA-Seq,202,3118006552,PRJNA309985,SAMN04444229,Plant,1333927157,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-27,coloumbia,SRX1547837,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CR2_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:39:00Z,1,CR2_20_dpi_R1.fastq.gz,SRP068919,root-27
SRR3124994,not applicable,RNA-Seq,202,2523451670,PRJNA309985,SAMN04444231,Plant,1063476287,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-29,coloumbia,SRX1547839,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CR2_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:32:00Z,1,CR2_24_dpi_R1.fastq.gz,SRP068919,root-29
SRR3124997,not applicable,RNA-Seq,202,2906965032,PRJNA309985,SAMN04444233,Plant,1220694359,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-31,coloumbia,SRX1547841,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CR3_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:34:00Z,1,CR3_17_dpi_R1.fastq.gz,SRP068919,root-31
SRR3124998,not applicable,RNA-Seq,202,2195337212,PRJNA309985,SAMN04444235,Plant,937892238,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-33,coloumbia,SRX1547843,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CR3_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:30:00Z,1,CR3_20_dpi_R1.fastq.gz,SRP068919,root-33
SRR3125002,not applicable,RNA-Seq,202,2501342770,PRJNA309985,SAMN04444173,Plant,1022205014,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Leaf-7,coloumbia,SRX1547834,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iL2_17_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:37:00Z,1,2iL2_17_dpi_R1.fastq.gz,SRP068919,Leaf-7
SRR3125004,not applicable,RNA-Seq,202,2353453318,PRJNA309985,SAMN04444237,Plant,989362429,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",root-35,coloumbia,SRX1547846,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,CR3_24_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-02-03T15:28:00Z,1,CR3_24_dpi_R1.fastq.gz,SRP068919,root-35
SRR3125005,not applicable,RNA-Seq,202,2309252082,PRJNA309985,SAMN04444175,Plant,978971519,UNIVERSITY OF SASKATCHEWAN,public,not applicable,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Leaf-9,coloumbia,SRX1547848,Canada,North America,Canada: Saskatoon,Illumina HiSeq 2500,not applicable,2iL2_20_dpi_R1.fastq.gz,PAIRED,RANDOM PCR,TRANSCRIPTOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-31T00:00:00Z,2016-01-29T12:36:00Z,1,2iL2_20_dpi_R1.fastq.gz,SRP068919,Leaf-9
