"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkolivegreen","MEdarkorange","MEdarkred","MEdarkturquoise","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEorange","MEpaleturquoise","MEpink","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEskyblue","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow"
"ERR7738945",0.070711582885184,-0.00875695825822648,0.015725169876327,-0.00846388598860908,0.0974252751922317,0.0153055666946337,-0.0138798937294831,-0.00208789879596283,-0.0014722356493807,-0.00518221890445647,-0.00497664332872312,-0.0162182943419274,-0.0149573864297744,0.10991347990355,0.0539538838210739,0.0380119155242437,0.0415758815302018,0.0134939359299952,0.0679834511343125,0.0633823789590685,-0.0400214341097121,-0.0520885591221025,0.0305955383318114,-0.0136036639921782,0.0901676863530245,-0.0333328068787685,0.0749265048214842,-0.00807517733065029,-0.109704387076479,0.00822915507703809,-0.0295060822691919,-0.0118408812213674,-0.0204134003031606,-0.0312952649339371
"ERR7738946",0.0705691688594613,-0.00835828457377896,0.0158221521332457,-0.0103489557465776,0.0973690374311919,0.0166809461137664,-0.0111575872539684,-0.000766266606192001,-0.00390257653147086,-0.00697394540347934,-0.00647359776428602,-0.01658489146368,-0.0112151380119413,0.109743156210719,0.050451500531922,0.0386476163410459,0.0403471265664723,0.0126251755499608,0.0661439273321478,0.0606523420396179,-0.0418537049104163,-0.0523576517280964,0.0291168174059718,-0.0136099722417898,0.0895680468766655,-0.0345830250372988,0.0749526386230538,-0.00679561874830853,-0.109000309406587,0.00942122191729422,-0.0298558676013062,-0.0118991507327517,-0.0199388582091163,-0.0317483914942291
"ERR7738947",0.0610860065853578,0.00800187415597164,0.0150029542003828,-0.00493629635944864,0.0847563945933692,-0.00121619679922051,-0.0186510963219447,0.0186208913492186,-0.185153821722347,-0.00934400665268406,-0.00297164353696178,0.0264324588783795,-0.0215255108549501,0.0997488364591854,0.0517831909758781,0.0266835486677213,0.0288982040515742,0.0133887079325732,0.0578729083431275,0.0454560983641373,-0.0365798468251573,-0.0376078808088059,-0.0192366049513132,-0.00259132208577495,0.0595050510692677,0.0068154665729511,0.0633167574801482,-0.0561374630025927,-0.0894528143335507,0.0383425516635,-0.0306786545157297,-0.00661001944590024,-0.00210750888550102,-0.0417958222063617
"ERR7738939",0.0116136905270763,0.0392360556485257,0.0139755537268692,-0.00958016301412916,0.0748601768869156,0.0127244894354825,-0.0132315905651915,0.0180980087950364,-0.0530250736367218,-0.0144045683042472,-0.0118732285724159,-0.016941107019659,-0.0190699373132967,0.088193498576164,-0.00400599224201309,0.0365751467460114,-0.0285863506631079,0.00118187486100962,0.0545868954957782,-0.0260196823290462,-0.0466683161294539,0.0180845796533935,-0.0470637653380155,0.0269432297834365,0.0126346905409123,0.0542381859912512,-0.0102480893438246,-0.0239805603768168,0.0382169148851251,0.023415249187072,-0.0281629905797973,-0.0138563772955705,0.0542593285731192,-0.025121735542662
"ERR7738940",0.0129013403937122,0.0394191774455145,0.0131116620485617,-0.0115131642176345,0.0751515631929798,0.0124114260220677,-0.0151001573561048,0.0180926576180295,-0.0546634597482967,-0.0148760173171558,-0.0113624310210087,0.00362753704094259,-0.0117283655076266,0.0896495834595954,-0.00296113460115682,0.0351461250249247,-0.0236713970974387,0.00615571564766229,0.0566755952068431,-0.0201428626529637,-0.044052925442585,0.0179646580220057,-0.0495655435925323,0.0254098595016704,0.0150459692669643,0.0554989120226368,-0.0080041567051931,-0.0236542993688416,0.0388561085044426,0.0263238954964408,-0.0298789723546143,-0.00805076899529706,0.0519716133664701,-0.0270589616877161
"ERR7738941",0.0105888888057886,0.0454964896683584,0.0218756554438161,-0.0122657839786177,0.0723183221021371,0.00692073280523032,-0.0153027098627026,0.0133298379669757,-0.0494915390483575,-0.0189936164762035,-0.0157197256889644,-0.00241082941286777,-0.0012611700617546,0.084876942471884,-0.000826081571855628,0.0615611279061145,-0.028532773668319,0.00549132335873728,0.0487984854938622,-0.0334746244498778,-0.047361919644229,0.0167507205135503,-0.0490206184197438,0.0230343909379728,0.0116395930113869,0.054724813202177,-0.0168244010720407,-0.0200999670080444,0.0430676769118469,0.0270031188198187,-0.0328193090454632,-0.0110673872098603,0.068844906933613,-0.0261885270090318
"SRR8689382",0.0592699390552135,0.0366040768431879,-0.0014689869952724,-0.014458527977717,0.00467435848309713,-0.033558467468537,-0.0195070427106065,-0.0240170637495808,-0.0279423244510625,-0.018818951517909,-0.0218650508115039,-0.133515085417585,0.305237354748355,-0.0109308134181046,0.0367832032097638,-0.00756376386132394,0.00175360956116235,-0.017726642501269,-0.0238047825023376,-0.0171123072487535,-0.0457491219503464,-0.0972164286183838,-0.0984970235120693,0.0353015424524475,0.0207232440812544,-0.0300201540248331,0.0299643470648363,-0.0397257993682769,-0.0867619621550007,0.0518986104996046,-0.0548125878490775,-0.0204301594724391,0.0510887365482175,-0.0345668321796764
"SRR8689383",0.0580113298169476,0.0364101954482656,-0.00214491802063407,-0.0157555147255528,0.0025469469064624,-0.0368549420513262,-0.0195070427106065,-0.0278456031251593,-0.00540714762730784,-0.0171375087815904,-0.0228498774765115,-0.139987877598541,0.573690095829143,-0.00977080222301711,0.0339180719594547,-0.00730582799850347,-0.00195925274861057,-0.0165172649899181,-0.0229661361930027,-0.0200343516165641,-0.0415834280183972,-0.0943336582423756,-0.0952612221573719,0.0379328474572742,0.0204133371204683,-0.0319085872430122,0.0267262690928206,-0.0404410525146676,-0.0871109861160046,0.0472253886148647,-0.055536779768961,-0.0178300128594042,0.0525289362377863,-0.0344717840144391
"SRR8689384",0.0594781919929025,0.0354688792172952,-0.00129872179982996,-0.0134414159739643,0.00421005153059525,-0.0334943311619295,-0.0160737914258543,-0.0246444863047277,0.0191787090647165,-0.0198308143940425,-0.0214639066092734,-0.154380114129014,0.193765751303629,-0.0124787492765939,0.0346468378201781,-0.00595673700734457,-0.00292592628791233,-0.0197648577952055,-0.0244080607396143,-0.0183712192514004,-0.0430934138237723,-0.0948223656703568,-0.0930750933378624,0.0362536085334627,0.0252657351134486,-0.0303308911383433,0.0270670989567933,-0.0309110306593967,-0.0870215066486457,0.0460046398056346,-0.0553903445151516,-0.0183499762624672,0.0485464275440274,-0.0348141344667838
"SRR8689389",0.105588399436509,0.0139795353249369,0.016454360853264,-0.0142533652181598,0.0372601059586767,-0.0424500181794863,-0.0195070427106065,-0.0303907416318004,-0.0817433624860736,-0.0155238874988442,-0.0132460697418152,-0.0946563454263744,-0.013368770287006,0.00282968615025468,0.0902600139762983,0.000169476045028398,0.0639683708080786,-0.0188978390179516,-0.0282224920779954,0.0599823154889823,-0.0489365490593503,-0.144552498702204,-0.0831201728119543,0.00204629251235374,0.0616302947492145,-0.0824566750100723,0.109102488382137,-0.0532728199657515,-0.188993127693474,0.0620638708924886,-0.0606068231151414,-0.0194180195884517,0.0247959646550526,-0.0400959951258534
"SRR8689390",0.104288800058019,0.0124601258320112,0.0123812837327064,-0.0131111447291761,0.0344574623632545,-0.039603380590701,-0.0175287287143343,-0.028918210803314,-0.0377306600162971,-0.0196593960226463,-0.0146400894286965,-0.121354939179193,-0.0097637564345624,-0.00170409083057455,0.0858782847299084,0.000973375006183876,0.0583067809444419,-0.0118148127200044,-0.0311040233907295,0.0566889049333742,-0.0487592070273425,-0.142102492095933,-0.0768438829767264,0.00398036246514542,0.0672606800769521,-0.0805906728296481,0.103827035679389,-0.0395236305396094,-0.184356494233727,0.0546494057259571,-0.0608225286928956,-0.0227030336785936,0.0227166390145329,-0.0408431482729454
"SRR8689394",0.100030227295935,0.0257619200785831,0.00965737792283562,-0.0126131874740645,0.025777799890007,-0.0422493864446086,-0.0169618785215728,-0.0179924913821053,-0.0925053097878339,-0.0152257141438376,-0.0146325977875267,-0.110360193534403,-0.013368770287006,-0.00240353166266231,0.0793069078313601,-0.0107604655105313,0.0573013497823575,-0.0188979481860705,-0.0340056419619861,0.0399642375996358,-0.0402303431205038,-0.144888665185086,-0.107781675167283,0.0112234812486367,0.0528272499121976,-0.0778134035868433,0.0954554326116851,-0.0540586793816455,-0.179474320184017,0.0713305885942217,-0.0637533633048603,-0.0199113951367882,0.024297406553789,-0.04265900322244
"SRR8689395",0.0978538700402733,0.0237645417671668,0.00304796127732162,-0.0140390619834276,0.0209820241239557,-0.039155888590797,-0.0195070427106065,-0.0197982711730716,0.0124200118893787,-0.0199699820962719,-0.0181114790482953,-0.156503953719586,-0.013368770287006,-0.0109344530106946,0.0728243551318259,-0.00810655843328011,0.052917783527138,-0.0166919260653512,-0.0355785415600589,0.0349230579217812,-0.0434671619909147,-0.141426470606902,-0.0964307649921954,0.0151468430099817,0.0581604257435042,-0.0791077919709154,0.0849435122781384,-0.0271571301957624,-0.174140138018539,0.057687334308451,-0.0654737207219215,-0.0271997757439424,0.025646581041907,-0.0408803760583395
"SRR8689396",0.0982105541016171,0.0234084143314594,0.0030619873034982,-0.0128226580026989,0.0213830720931071,-0.0405921879050849,-0.0195070427106065,-0.0204270048669541,0.025030606273818,-0.0189557327573155,-0.0160716631698146,-0.167160559236975,-0.013368770287006,-0.0108711795576958,0.0706812993653871,-0.00816880334727552,0.0518947799511734,-0.0139551041981826,-0.0365011962448696,0.0347706253587538,-0.0459903800829249,-0.139532251277188,-0.0977131341810304,0.014615031833518,0.0584849420164652,-0.0781636116514794,0.08526768081025,-0.0260612944069952,-0.176875547297117,0.0580935501261401,-0.0647469212296457,-0.0231292627087299,0.0292550235241919,-0.0399235947114621
"SRR8689400",-0.0171719431075655,0.0646535888900685,-0.0229579113128581,-0.0142811759686503,-0.0508625112058096,-0.0271794012646407,-0.0195070427106065,-0.0254701544991917,-0.0487044236235665,-0.0197047352791671,-0.0175337753037663,-0.128139697315017,0.0161280667487799,-0.042964742673129,-0.0337112819325639,-0.0170823674471487,-0.0727193013964214,-0.0114411667323241,-0.024063550977856,-0.0878682839138731,-0.0189982482335838,-0.0302189079513703,-0.101733598626285,0.0752101250495516,-0.0635958196822901,0.0420540385151946,-0.0594376285607001,-0.027044507741895,0.0279117406866215,0.0239265424864979,-0.0400154317436546,-0.0057485170766378,0.0781440935731305,-0.020456626887469
"SRR8689402",-0.018670263492304,0.0651569720696151,-0.0238716201131689,-0.0146809276333236,-0.0487464461106484,-0.0319462971766388,-0.0145711437923821,-0.0289333677748216,-0.0441009500271071,-0.0175064238745963,-0.0196166232360029,-0.135522337336602,-0.0072832487313636,-0.0431995827391145,-0.0368288363346957,-0.0149644156406907,-0.0712698931000315,-0.0135098256481287,-0.0248763154498677,-0.0847045445040218,-0.0200861357174923,-0.028810923100461,-0.101076809940031,0.0758159315697259,-0.0622278334161892,0.0434098085854057,-0.0613786532301138,-0.0272449770987524,0.0265615001461799,0.0235398763908683,-0.0407673163340872,-0.00867489206631331,0.0742956031169257,-0.0206410592887739
"SRR8689407",0.00243560656595174,0.0560156847863124,-0.0141976643388456,-0.0124207200231063,0.0105068206930184,-0.0253473665941577,-0.0167241867195929,-0.0123732603184121,-0.0364206314010987,-0.0175540924551228,-0.0213037783533779,-0.172566942820831,-0.0265009412178378,0.016029147148994,-0.00813942939135907,0.00962519379512997,-0.0632135943314867,-0.00370980314314979,0.00540846015596388,-0.0765075140922585,-0.0505888741454062,-0.0635517241716843,-0.133891857126634,0.0676698695572412,-0.0327369817321699,0.01009287026641,-0.0402495677418363,-0.0304786021534128,-0.0242130361911933,0.0518769256208546,-0.0514482601211971,-0.00582788443761177,0.0913494670632402,-0.0325344210097725
"SRR8689408",0.0029141910467059,0.0558958913564202,-0.0131779830161703,-0.0143243671701053,0.00939262876113988,-0.0245113590955544,-0.016162388233604,-0.0125547201594355,-0.0560354879186511,-0.0154102164079471,-0.0192958821028585,-0.169977855329169,-0.0132440930855335,0.0153534227689944,-0.00571073503414346,0.00757255077710354,-0.0602047338522537,-0.0119133097178927,0.00563725749826574,-0.0718692269693492,-0.0497800788558053,-0.0617745925345376,-0.132540156187522,0.0665516366248699,-0.032762644061519,0.0128368415289597,-0.039711181321269,-0.0313574697008299,-0.0240950893530546,0.0541428424514211,-0.050664096402332,-0.011263027929157,0.0889369522584728,-0.0350288112969263
"SRR8689412",-0.0214532682773345,0.0732110880622218,-0.0348599841160951,-0.0169790717065418,-0.0429672440552436,-0.0341793134298616,-0.0122271064867332,-0.0266899949930592,-0.0478544948343272,-0.0231031238416386,-0.023889999389886,-0.104020414072415,-0.00754356436476727,-0.0345202111261431,-0.0379827080892021,-0.0237007996447043,-0.0771967174607251,-0.0135508810403431,-0.0224117624242184,-0.0924953499935736,-0.0126039200235452,-0.0563251481650633,-0.088034905120666,0.0866845080941717,-0.0692733594698234,0.010879956022117,-0.0608013326310312,-0.0179802159993296,0.00724965832831385,0.0216846069133459,-0.050160791456436,-0.00256326871552353,0.0651941611246875,-0.0253942887796538
"SRR8689414",-0.0216493278433421,0.0740746293828541,-0.0336395350601409,-0.0143258562182975,-0.0424729199081407,-0.0326300308803227,-0.0185245162980928,-0.0260109866880325,-0.0616291407299599,-0.022287522905017,-0.0206157517793783,-0.0959952500583865,-0.00446315748126544,-0.0355218769861784,-0.038981572766307,-0.0222513458096131,-0.0772529218982749,-0.0136507980162013,-0.0199403668731008,-0.0929130292924037,-0.0106336823695858,-0.0562069854164474,-0.0917119286778302,0.0850475432234597,-0.0702186216166768,0.0160040996276342,-0.0601081165739471,-0.0274122632656981,0.00738574134640112,0.0239965934184928,-0.0487006225603171,-0.00900118366981527,0.0698929335701322,-0.0251246170509927
