"","MEblack","MEblue","MEbrown","MEcyan","MEdarkgreen","MEdarkgrey","MEdarkmagenta","MEdarkolivegreen","MEdarkorange","MEdarkred","MEdarkturquoise","MEfloralwhite","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MEivory","MElightcyan","MElightcyan1","MElightgreen","MElightsteelblue1","MElightyellow","MEmagenta","MEmediumpurple3","MEmidnightblue","MEorange","MEorangered4","MEpaleturquoise","MEpink","MEplum1","MEpurple","MEred","MEroyalblue","MEsaddlebrown","MEsalmon","MEsienna3","MEskyblue","MEskyblue3","MEsteelblue","MEtan","MEturquoise","MEviolet","MEwhite","MEyellow","MEyellowgreen"
"ERR7738945",-0.00430697993345455,-0.0379137149850149,-0.0282304817833952,0.0220676285362661,0.00405962587709308,-0.00934982674758182,-0.0288469382912394,0.0144547311434625,0.0890330970884252,0.0860110823877803,0.0390822076189409,-0.0455012994110607,-0.0361086703600555,0.0432935482019995,0.0813801272969278,-0.00574425812937788,-0.00827669890787736,0.0527601053875085,0.0248692231864826,-0.0155789398724474,-0.0130930324193142,-0.0204428431223284,0.0687476566975055,-0.0260535591218803,0.10526822895508,-0.026447727404133,-0.00997411072329358,0.028889070671848,-0.0586580860454245,-0.0229541996852706,-0.0187238144343582,-0.00436186969181632,-0.00681094898773047,0.00479653955465431,0.0128790835056061,0.00129162021167224,-0.0790819778901194,-0.0175792439152685,0.0955453939283725,0.0644441705260481,-0.014884947974312,-0.00418904450808666,-0.00737794911222056,0.0244967016845959,0.0182360268543604
"ERR7738946",-0.00366724918936989,-0.0377287363844838,-0.0289520065553319,0.0204044655112913,-0.00222611113933829,-0.0118508778611988,-0.0283650078664432,0.0135077885782887,0.0889339245386428,0.0845549713584486,0.03814965784908,-0.0471664577110307,-0.0361444925858204,0.0410081069972393,0.071958905475125,-0.00693223372712304,-0.00916950551088808,0.0539301155535209,0.0248281783807615,-0.0141446055552423,-0.0113924470523323,-0.0203002002973057,0.0688066643705166,-0.0269121118061106,0.105538942756014,-0.0273085460756397,-0.0104812495832754,0.0278962328233052,-0.0585728307022119,-0.0260848444940398,-0.0194617702030551,-0.00454737539042888,-0.00976822223580803,0.00465592309312357,0.0127768810350547,0.000917809824753826,-0.0793932201888756,-0.0163623843843127,0.0939511666702121,0.0648407482313943,-0.0143369520952357,-0.00666255647107161,-0.00616129061288007,0.0248989112528589,0.0193394818352612
"ERR7738947",0.0136846570140297,-0.044900319704018,-0.0302516943092084,0.0229607916037274,0.0140689823923935,-0.00535875478563091,0.00710673774618515,0.0126516385050504,0.0747658333033709,0.0667715936328622,0.0247114959468884,-0.0278135220438131,-0.0291947662897993,-0.011758991338425,0.110142589278737,0.0548779384187027,-0.00703845461789653,0.037866686263919,-0.0125595409064283,-0.0274515520716818,-0.0186347209020811,-0.00185844630562815,0.0563140427691366,-0.0196728690867272,0.09822344504608,-0.0340223733561199,-0.00849297606859757,0.0411865959466913,-0.0447691844407278,-0.0300306709204559,-0.0234076913191446,-0.00322709968727231,-0.196320488246582,-0.0040350704980847,0.0394438239413863,-0.0325387559468808,-0.0594851670049587,-0.0074989405706544,0.0668560050092497,0.0541137892764196,0.00305596136825814,-0.00779803535390685,0.00941091887012698,0.0295643896301171,0.0251184693387444
"ERR7738939",0.00787507723799951,-0.0228703855631588,-0.0259885596018337,-0.00289311437220234,0.00319568340793003,-0.00791360663749576,0.0578464110649044,-0.0467316868082452,0.0289645099780049,0.0184143621279431,0.040696313459798,0.0145626926022623,-0.034251150125079,-0.0401399602437467,0.027577315628381,-0.0150731101581189,-0.0118384579354476,0.0450755412557542,-0.032729266101183,-0.0333985263389465,-0.0165311479773518,-0.0161078364855628,0.00431537043494892,-0.00753119104361913,0.0874273719029016,-0.0373181904646801,-0.0107226790322141,0.0795864399541286,0.017607429763868,-0.0177760721166863,-0.0263772663587566,-0.01443466213247,-0.052843070944913,0.00134879848128625,0.0287128075610079,-0.0152443910182955,-0.0237344939408292,-0.0119927900374524,0.0483350399847182,-0.0067934035092478,0.0389504213591614,-0.0158269508422421,0.0127310994269372,0.00842781452759522,0.0143398150194519
"ERR7738940",0.00678306190958578,-0.025217243632811,-0.0281568934249789,0.0020085488515463,0.00223427226462671,-0.0101374197341606,0.0573040690512507,-0.0452217437750203,0.0308868220290118,0.0190089574132669,0.0394131350336264,0.0101386155872836,-0.035029880290891,-0.0436938670002031,0.0290606695016115,0.0138419225667197,-0.0100311705569685,0.0448332389052411,-0.0343440179888411,-0.0328146678120724,-0.0136761777538507,-0.00231712102037567,0.00602314179227263,-0.00604636355172808,0.0890026035335614,-0.0352027812056186,-0.0122264254880903,0.0766676501795068,0.0178245951302103,-0.0172242607400074,-0.0262155650443329,-0.0140700050265925,-0.0567278467442826,0.0104558464544377,0.0315003137484843,-0.0141210439489558,-0.0252826449719106,-0.00873727967616877,0.048345773420131,-0.00509335444334617,0.0390941522318034,-0.014313769699826,0.0143489963257726,0.00852567714941807,0.0138183103592408
"ERR7738941",-0.00358743151635871,-0.0265106658162184,-0.0323090591074894,0.000727930398693719,-0.00666301413669533,-0.0112576050148788,0.0475944507057324,-0.0520634528551862,0.0269333443032078,0.014959207839637,0.0736318059607907,0.00933448076510818,-0.0374319713027404,-0.0414150647794577,0.0201646855486669,0.00809847888628192,-0.0155789825270729,0.0385993038161794,-0.0350471887638657,-0.0259635106358224,-0.0186670902815441,-0.00527751329242773,0.00451839557576914,-0.00785030081725969,0.0839821895936745,-0.0445700005425953,-0.0128511400041365,0.095414263231074,0.0161735312934346,-0.0190511970693516,-0.0257216397778234,-0.0179088329411416,-0.0515691989887381,0.00922201927076355,0.0332883226588913,-0.0106335345689032,-0.0283851336719357,-0.0128598473813558,0.046843828808596,-0.0123680941129761,0.0451847580522469,-0.0190925585581537,0.0131609057008174,0.0137228111188773,0.00925446187390856
"SRR8689382",0.0491534345163511,-0.0510392605707283,-0.0536760274746401,-0.0187848464859916,-0.0153786563434973,-0.0159147254531184,-0.0437592152466879,-0.00981249437820141,0.0364332414189957,0.0276625787603956,-0.00999695138042182,0.07768417293356,-0.0467199017189874,-0.0980585363745826,0.0350869495397074,-0.132043188738304,-0.0151443301042713,-0.0252119623567215,0.0548389974084804,-0.0672016035890221,-0.0188821221183587,-0.140703039628851,0.0585435125031928,-0.0755031963560635,-0.0100364908827803,-0.0242286908030754,-0.00675620012603624,0.0565955096598299,-0.0928643383294763,-0.0208271846282887,-0.0209633155524626,-0.0210541122779361,-0.0218462451070152,-0.0233725245450846,0.0519013395264768,-0.0436856770277462,-0.0432665308218492,-0.0166625933059428,0.0174911938827164,0.0246932849440005,0.0345146719763623,-0.0198760569665926,-0.0289904114732293,0.0165900825589361,-0.122434272867657
"SRR8689383",0.0504589970895402,-0.0502950169494663,-0.0541697968112452,-0.0153091576641065,-0.0150479333728197,-0.0165183644945651,-0.0454836684387857,-0.0126266651840067,0.0370595371407632,0.0258673359777988,-0.0103854212597391,0.0727872950335525,-0.0478554106020295,-0.0947973536474084,0.024837028935488,-0.140430969835849,-0.0186910104330373,-0.0257876457728235,0.0558697748484813,-0.0650706678839978,-0.017407170836396,-0.141461982449799,0.0579232117131013,-0.0813571486123096,-0.0106156869603256,-0.0225923650034381,-0.0102795020801489,0.0548819007917645,-0.0905068816432761,-0.022656767203558,-0.0233905468149554,-0.0225495231860684,-0.000317341594045584,-0.0189960855293324,0.0504608226620491,-0.0464796451077097,-0.046086766997395,-0.0139399885353972,0.015641395488412,0.0238414725359927,0.0346063683713866,-0.0193089801017972,-0.0315812591178049,0.0137937126032329,-0.116680322953027
"SRR8689384",0.0484018724341518,-0.0504382302797539,-0.0541216638466449,-0.0179394696727068,-0.017580668986086,-0.0133807601065738,-0.0447382493991923,-0.0159580248339168,0.0384127314762231,0.0257709697576216,-0.00932849644760442,0.0713118979639652,-0.0488030266845772,-0.0925548552793896,0.0243455027140537,-0.153286555112605,-0.0160805091978193,-0.0256688411154167,0.0573721209391461,-0.0667548096676221,-0.0155659243787166,-0.152985754625192,0.0609185272915715,-0.0775376984298899,-0.0129207779264417,-0.024110829675081,-0.0106528998078911,0.0549662568434169,-0.0907420956563477,-0.0201786097138099,-0.0243091622877686,-0.0206120053192562,0.0247314702614198,-0.0287527705005149,0.0470183222754327,-0.0407678068799645,-0.0444036576597828,-0.0171418432855475,0.0215790352024318,0.0225598168497437,0.0334063506193049,-0.0201071808472761,-0.0295465406949926,0.0136422674631176,-0.121804850182435
"SRR8689389",0.0358885942513984,-0.0619428969977637,-0.065517623185371,-0.00864794616542375,-0.0168258578954404,-0.015805303269091,-0.092855433107933,0.0660751507372886,0.0709935577940373,0.0943242756852619,-0.00277089283694693,0.0529228792891896,-0.0494507149798993,-0.082976511609884,0.0719582122017284,-0.0886786284781533,-0.0148148485605909,-0.0349810585953311,0.0633244182209191,-0.050290833835563,-0.0178829002560161,-0.115903068690482,0.101124477671263,-0.084748357274886,0.00415936048554665,-0.0318341647995939,-0.00776861309425409,0.0322142911899771,-0.145312039722726,-0.0307590080256255,-0.0144827175688732,-0.0102424892184139,-0.0825690375018492,-0.0342272425292431,0.0603899274024457,-0.0536391183706645,-0.11008663184022,-0.0171709609426286,0.0465163387676485,0.0987064477805988,0.00717399285345638,-0.0174763152169693,-0.0369705810002585,0.047247128096498,-0.1409048256961
