"","MEgreen","MEviolet","MEblue","MEdarkgreen","MEpurple","MEblack","MEcyan","MElightyellow","MEdarkmagenta","MEskyblue3","MEyellowgreen","MEdarkgrey","MEdarkolivegreen","MEorange","MEdarkorange","MEpink","MEtan","MEyellow","MEgrey60","MEskyblue"
"SRR8689390",0.00352841743246347,-0.106916940318952,-0.0424379007536852,-0.0767467792427541,-0.121340309687285,0.106270945131227,0.0516147117408204,0.000772413787745748,-0.0219172938534913,-0.0173801589728885,-0.0936257409379443,-0.0751169210984386,-0.153590182425888,-0.0398200751316046,-0.0468686891287013,-0.0154313905038568,-0.0125440533267512,-0.0152340089868931,-0.0137418368673836,0.0329523763759103
"SRR8689394",0.0130969891720177,-0.0965323197131997,-0.0499872390503621,-0.107853753077678,-0.11184952397173,0.100592254923962,0.0476840559157115,0.010159528628277,-0.020938212173264,-0.0173801589728884,-0.0892350431224458,-0.0609219741050114,-0.156694930272209,-0.0939474313786268,-0.0633950546082159,-0.0230497537544066,-0.0123301603064779,-0.0145103553511398,-0.0155405163273708,0.0215370547106687
"SRR8689395",0.0145429093106384,-0.0907153596545478,-0.0499170618428717,-0.0955983302387174,-0.15665519057472,0.0979162430587778,0.0422025203453067,0.00658213635039957,-0.024640405691219,-0.0173801589728884,-0.0943879659853673,-0.064544781594316,-0.152420474601621,0.0185022397820446,-0.0388531993506656,-0.022276847488177,-0.0141532607884132,-0.0181619660976198,-0.0201255416668845,0.0257250849155777
"SRR8689396",0.0140330284100959,-0.091833128116875,-0.0492776689730707,-0.0979751020182574,-0.167381911772298,0.0991435296972809,0.0418138831217706,0.00703600502531576,-0.0231074600567679,-0.0173801589728884,-0.0887292770356035,-0.0637362076357637,-0.150404519901243,0.0304182547601198,-0.0376756605568025,-0.0193465673994878,-0.0126819957554135,-0.016249659801908,-0.0207401242277043,0.0279246430153257
"SRR8689400",0.0747920777152606,0.0390282093318284,-0.0516857648291607,-0.100938384385223,-0.127656438507192,-0.014458182542947,-0.030679328036113,0.0135747572048962,-0.0190344547273111,-0.0173801589728884,-0.0296912948752047,0.0352822066723727,-0.0264132293158645,-0.0403007241296195,-0.0449453158989239,-0.015203369347561,-0.014312615999773,-0.0171677370773077,-0.0422682283528933,-0.0251463034728873
"SRR8689402",0.0758606032007862,0.038150101813834,-0.0524337415450774,-0.0999094049301164,-0.134716593008893,-0.0166837628791388,-0.0313339166710391,0.0138613510631799,-0.0177237253376118,-0.0102553413887221,-0.0287420539164196,0.0371983888328553,-0.0255375473924474,-0.0367915729880577,-0.0433422079082342,-0.0171761539834341,-0.0146969541735431,-0.0190399458087914,-0.0426577631650249,-0.020734537653485
"SRR8689407",0.0676486043409578,-0.00267814096550635,-0.0556458033636106,-0.133019238574271,-0.169792590995688,0.00732265949938535,-0.0079945296582665,0.0240406069716386,-0.0176457993564433,-0.013516912303172,-0.0604989926594592,0.0154192413392525,-0.062675430410705,-0.0270239569059454,-0.0558786986331405,-0.00914766057646292,-0.0124806490712766,-0.0205870034412156,0.00328781641146654,0.0150284991081288
"SRR8689408",0.0674279486377542,0.00288447035842992,-0.0551962553127388,-0.131378882657268,-0.169209330794976,0.00763804316056051,-0.00699862133393896,0.0243788377407579,-0.0175004059902272,-0.0125601167222101,-0.0513976308809906,0.0158859561023487,-0.0625924658862475,-0.0492102312456974,-0.0564735742659014,-0.016801503737386,-0.0146724618520104,-0.01834897973958,0.00440178963160973,0.0151803966379065
"SRR8689412",0.0869696656121455,0.0471542693382214,-0.0610751853398586,-0.0848049302938661,-0.10170165081906,-0.0181398680578154,-0.0380776368356702,0.0108951289657765,-0.0194664835225881,-0.0073031722271303,-0.0543663024402579,0.0152843970946693,-0.0510487478588408,-0.0378442774305352,-0.0388105800012437,-0.0173493928766624,-0.0173136903917099,-0.0231123637739127,-0.0379957699044216,-0.0217906369401151
"SRR8689414",0.0846834608068686,0.0456629474079191,-0.0606450066002813,-0.0898670621780677,-0.0935799110625042,-0.0179856336484122,-0.0372457046139565,0.011001128362331,-0.0219489250983687,-0.0173801589728884,-0.0543069166026362,0.0125627802749797,-0.0510747200005144,-0.0517959851280728,-0.0436171939088935,-0.0162764555409172,-0.0145860247962138,-0.0200655208320591,-0.0376039889967518,-0.0267017911182569
"SRR8689388",0.00611465946768532,-0.11248476289735,-0.0419440751238852,-0.074128644011083,-0.129807850916267,0.105397163870703,0.0496602729915924,-0.0038375953622945,-0.0246100816087171,-0.0173801589728884,-0.0930375442458821,-0.0763241691785172,-0.152444283156706,-0.0270776493942039,-0.0475704684327046,-0.0237245942577175,-0.0152011493098812,-0.013485329320612,-0.013324720523058,0.0342586362610837
"SRR8689401",0.0747719477752006,0.0399278847263732,-0.052768815236044,-0.104961856823292,-0.117397076111729,-0.0148061820026351,-0.0277881471046981,0.0146092494703101,-0.0190595342757323,-0.0120218916847243,-0.0223509209684612,0.0327434784824693,-0.0280463712497888,-0.0793383342669322,-0.0525087459932818,-0.00955964989299366,-0.0125398460331755,-0.0172888602941348,-0.0405841879688125,-0.0242430323365234
"SRR8689406",0.0678909226210178,-0.00112379881544652,-0.0550894533462252,-0.13278924135728,-0.163041013456897,0.00705933377355535,-0.0072218484177465,0.0230996200372318,-0.019258628631304,-0.0141259937031359,-0.0502952817316595,0.0153820790764186,-0.0617418478388428,-0.072468290460278,-0.0559531286060635,-0.0159767255458955,-0.0132861644971227,-0.0180517000855239,0.00507145671766756,0.0144413290633218
