"","MEblue","MEsalmon","MEroyalblue","MEpink","MEsienna3","MEpaleturquoise","MEplum1","MEdarkred","MEmidnightblue","MEbrown","MEdarkgreen","MEcyan","MEmagenta","MEgreenyellow","MEwhite","MEblack","MEturquoise","MElightsteelblue1","MEgreen","MEorangered4","MEskyblue3","MEgrey"
"SRR3124724",0.0128296843822276,0.00991986572419167,0.0148898829270655,-0.014236576524678,-0.0361203280055291,-0.00701831306104133,-0.0794612367595665,0.0396988049565026,0.0556636106796109,-0.0048288541629447,0.00200353065597536,-0.00215730791318332,-0.0488505239515256,-0.00935221808836843,-0.0756982617570161,-0.102916059263097,-0.0489860499437245,-0.0260929614429368,-0.0218995408185486,-0.0125876456042827,-0.0241202329967342,0.0178377985347812
"SRR3124726",0.0629965857956231,0.0292135239979238,-0.0254587609171693,-0.0106421737997042,-0.0279363312368859,0.0678994205941942,-0.00977449643905788,-0.0711999091502636,-0.0385716599716801,-0.0647767993067555,-0.014815264365934,-0.0203908047201289,-0.0371709565663978,-0.0416517618874365,0.0330273994218009,0.000491793885423509,-0.0341734922876435,-0.0446370321937569,-0.0242117934151949,-0.014861715044563,-0.0231642902556475,0.0321509046445366
"SRR3124729",0.02935768045689,0.0343541639622696,0.00337354832481044,-0.0124567313928084,-0.0281108142186391,-0.00307965432473179,-0.0629893508930876,-0.024641027848077,0.0111324541156199,-0.0376109237843382,-0.0285780241818698,0.0475612922411503,-0.0150354021189177,-0.0372651495619295,-0.0477986390480782,-0.0789807193099232,-0.0438406153826416,-0.039027213795583,-0.0220348058696456,-0.0137299083644349,-0.0234474814932405,0.0356499338095781
"SRR3124731",0.0138102195198138,0.0230824902127264,0.0174560665284831,-0.00919885944675088,-0.0327461566067726,-0.0162558518284603,-0.0783182246009887,0.028384373604459,0.0480233621224715,-0.0142758796537324,-0.00945251467900603,-0.00371688066064439,-0.0669437088898824,-0.010737827070151,-0.0833424500394948,-0.113486620190025,-0.0489429046416525,-0.0265373406914631,-0.0179345222323695,-0.0137769134940134,-0.0218723183064855,0.151322648698101
"SRR3124735",-0.114938506807176,-0.0556844499087695,-0.01834010727871,-0.0251997609786335,-0.0453463697018764,-0.040689074719648,-0.0567163551807707,0.0119370112670416,-0.0842820172395077,0.0279271252316117,-0.0195105024782896,0.0391474172086402,-0.0148967923611455,0.110305528462723,0.150661419572454,0.102472198030421,0.110017747072557,-0.0221684138141545,-0.00807184798142173,-0.00634193210187482,-0.00979723093279629,0.00349763499648067
"SRR3124737",-0.127533741667541,-0.0490413971498581,0.0241330445108966,-0.00730468837673688,-0.059435725217911,-0.0778530290349419,-0.0782393814663153,0.0625572544675106,-0.0570371547398629,0.0422384607762882,-0.0234452448481145,0.0351946332890572,0.0180820848144947,0.159532447658848,0.132834494258488,0.0678263240241522,0.0909796398231031,-0.0124607919078979,-0.00771676069233205,-0.0111143839950318,-0.0143340126323867,-0.00550207515944953
"SRR3124740",-0.130671162989287,-0.0437120042643772,0.0471702778147837,-0.00191160044576633,-0.0458925455696463,-0.0809493205264493,-0.0746350086424224,0.083785295428354,-0.0463465228535756,0.0436295046993034,-0.0281455428738502,0.0321822596787327,-0.0143500804544053,0.171876575171586,0.119412799887272,0.0513863788855192,0.0749007589347721,0.00294686913798021,-0.0075261735898379,-0.0111993164658787,-0.0121551412149026,-0.000840402090372095
"SRR3124742",0.0681420464704717,0.0187093961691193,-0.0233325297818426,-0.0143489402458341,-0.031145293355713,0.0776936630434684,-0.022227038191245,-0.0325679250133564,-0.0123818538470759,-0.0493305106639575,0.00588710998152266,-0.043426808554993,-0.0018024616781434,-0.0289387167741631,0.0182090662655539,-0.00808583414597717,-0.0417827097333895,-0.045234070681948,-0.0232288078596292,-0.0178862243806908,-0.0254360429385956,-0.0215230864732147
"SRR3124743",-0.125956149777019,-0.0505780441429767,0.0275686972268512,-0.0110729600675646,-0.05626377240547,-0.0748303548808653,-0.0780278318442854,0.0544761482373251,-0.0539415300431278,0.0438779565997963,-0.0186924073681116,0.0366931729840242,0.0112336755239994,0.143430113161983,0.121315977648915,0.0557851525437105,0.0907452623312616,-0.00476962802698659,-0.0111816041973224,-0.0100538737154443,-0.0164484448557301,-0.0230385023089345
"SRR3124745",-0.134126136874596,-0.0485465214062881,0.0336151180688505,0.0110077655050406,-0.0372670110665832,-0.087944001077749,-0.0769875239971304,0.0896825058595983,-0.0426563287166554,0.0522973898728844,-0.0280070481610323,0.0451310525146529,0.00882611214880727,0.180425498715815,0.111366592426172,0.0553700452937009,0.0855460238185527,0.0202137813773284,0.0018268053593355,0.00217749301799921,-0.00822351781416048,0.0126178738400931
