target_id,SRR13824033,SRR13824030,SRR13824004,SRR13824032,SRR13823989,SRR13824011,SRR13824003,SRR13823991,SRR13824015,SRR13823996,SRR13824001,SRR13824025,SRR13823990,SRR13824014,SRR13823992,SRR13823988,SRR13824009,SRR13824031,SRR13824020,SRR13824007,SRR13824022,SRR13824005,SRR13823994,SRR13824023,SRR13824021,SRR13824008,SRR13824024,SRR13824012,SRR13824039,SRR13823997,SRR13824028,SRR13824002,SRR13824018,SRR13824034,SRR13824010,SRR13824013,SRR13824029,SRR13824016,SRR13824035,SRR13824026,SRR13824019,SRR13824000,SRR13824006,SRR13823998,SRR13823995,SRR13824027,SRR13823999,SRR13824017,SRR13823993
AT3G61490.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1319,1.27685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.437842,0.0,1.61121,0.0,0.737424,0.0,0.0,4.2881,0.547973,0.708557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87681,0.0,3.44033,0.0,0.0,0.0
AT3G61500.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231986,0.0,0.0,0.0,0.0
AT3G61500.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G61510.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0869716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704589,0.0,0.0,0.281118,0.0,0.0,0.0942655,0.0,0.121351,0.0,0.287759,0.0,0.0,0.0,0.0,0.0,0.16364,0.0,0.0,0.0,0.0,0.0
AT3G61520.1,0.0,1.88712,6.00213,3.44849,1.88018,0.0,1.26869,2.43713,4.65847,2.43734,1.4989,1.7007,0.617286,2.54489,3.48685,2.2803,1.89229,2.55631,2.74921,0.0,2.99002,1.54593,3.86522,0.0,0.0,1.50104,2.71427,2.91395,0.0,0.0,2.15598,5.82165,2.75922,4.41759,3.32974,2.57907,1.71314,2.04864,0.0,3.77285,2.06433,1.42503,1.52409,3.02305,0.731668,2.84108,0.0,3.02034,3.59507
AT3G61530.1,5.42584,6.05806,4.91576,3.48176,0.508818,0.0,2.79585,0.0,5.03731,3.65003,0.476548,2.51231,3.21782,1.0388,0.158789,0.528518,3.71639,2.9966,2.08541,0.0,6.1533,0.545384,2.70199,13.29,1.93819,2.79265,1.2793,3.3129,0.0,10.1132,3.10015,5.85476,1.10924,7.06526,0.0,2.06969,0.0,4.79443,0.0,5.03217,7.6714,3.67133,3.28807,2.49667,4.33059,4.34087,7.82201,0.954278,3.56325
AT3G61530.2,0.0,2.59127,7.94966,1.37461,0.97916,0.0,0.0,5.43322,4.1979,1.28359,2.20913,0.771827,0.0,3.29864,2.55906,2.45004,0.0,0.0,2.81912,3.09464,1.65817,0.0,2.64137,0.0,0.0,0.0,2.14782,1.21658,0.0,0.0,2.42993,0.0,2.14465,1.22073,3.3034,0.0,5.77151,1.24366,2.72984,1.21009,0.0,0.0,1.01227,2.11912,3.60895,2.30566,0.0,4.46402,3.16987
AT3G61540.1,6.51623,19.4766,15.6923,13.5589,10.941,17.8973,18.8871,15.947,16.4933,15.3,15.6167,15.6646,8.05099,13.2732,13.1144,11.3603,5.57906,8.24726,17.5506,7.56921,15.4653,11.0529,14.94,9.97151,8.72886,15.9309,12.3671,16.5069,0.0,7.59096,16.0501,9.3385,13.8401,13.8258,14.3125,15.0511,16.587,18.6953,5.34142,22.6004,7.1977,18.5936,12.6808,13.0475,12.7408,21.2684,0.0,14.7428,15.1617
AT3G61550.1,0.0,0.485224,0.0,0.0,0.367427,0.0,0.0,0.0,0.0,0.0,0.0,0.144813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164868,0.0,0.0,0.0,0.0,0.114129,0.0,0.0,0.0,0.0,0.0,0.305383,0.0,0.0,0.580288,2.79456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395712
AT3G61560.1,3.88022,3.19068,1.58674,1.52095,0.0,0.0,2.35341,3.41809,5.01477,0.986172,0.0,2.6749,0.0,8.48967,7.86319,0.0,4.61868,0.0,0.834466,5.83025,5.42306,0.0,1.84059,0.0,12.0438,7.52111,0.595499,6.44717,0.0,0.0,2.55966,4.24225,4.63763,9.3843,3.82462,6.90031,0.937939,2.14514,0.0,6.35862,0.0,0.0,2.57125,0.0,0.0,1.26927,0.0,3.06009,4.83283
